Source Language,Target Language,Input Text,Reference,Generated
Assamese,English,"এটা বাহ্যিক ৰূপ হৈছে সশস্ত্র বাহিনীৰ জোৱানগৰাকীৰ সৈতে জড়িত কেইবাটাও বৈশিষ্ট, যেনে তেওঁৰ জোতা, কাপোৰ, টাই, অলংকাৰ, কেশ-বিন্যাস, মেক-আপ, ঘড়ী, প্রসাধনী, সুগন্ধি, ইত্যাদি।","An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","This is an external appearance that involves several features associated with a soldier, such as his belt, uniform, tie, jewelry, hairstyle, makeup, watch, toiletries, perfume, etc."
Assamese,English,মহাৰাষ্ট্রৰ ঔৰঙ্গাবাদ জিলাত অৱস্থিত অজন্তাত খ্রীষ্টপূর্ব প্রথম শতিকাৰ পৰা খ্রীষ্টাব্দ পঞ্চম শতিকাৰ ভাস্কর্য্য আৰু চিত্রৰে শোভিত ঊনত্রিশটা চৈত্য আৰু বিহাৰ গুহা আছে।,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.","Twenty-five chaityas and viharas at Ajanta, Maharashtra, India
### Explanation:
This is a translation request for an Assamese input text that describes a task and provides further context. The input text is a request to translate the Assamese input text into English. The response is a translation of the Assamese input text into English."
Assamese,English,"দেহৰ ৰং বাহিৰত থকা ৰেখাডালৰ লগত মিলি যায়, যিয়ে ভলিউমৰ ইফেক্টটো সৃষ্টি কৰে।","Body colour gets merged with the outer line, creating the effect of volume.","The color of the skin matches the external contour lines, which creates the effect of volume."
Assamese,English,অশোকে ভাস্কর্য্য আৰু বিশাল স্মাৰকসমূহৰ বাবে শিলৰ ব্যাপক প্রয়োগ আৰম্ভ কৰাৰ বিপৰীতে পূর্বৰ পৰম্পৰা আছিল কাঠ আৰু মাটিৰে কাম কৰা।,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","Asoka's sculptures and large monuments, unlike the earlier tradition, were made of stone."
Assamese,English,"মচলাৰ সৈতে মিহলোৱা, বেচনৰ ঘোলৰ তৰপ দিয়া আৰু অত্যুত্তম অৱস্থালৈ তেলত ডুবাই ভজা আলুৱে মহাৰাষ্ট্ৰৰ এইবিধ সুস্বাদু তথা বিখ্যাত খাদ্য তৈয়াৰ কৰে।","Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","Mashed with Chana, Mixed with Besan Gram Flour and Fried in Hot Oil, this Famous Maharashtrian Dish is made with Potatoes."
Assamese,English,"চেট্টিনাড ব্যঞ্জন তামিলনাডু ৰাজ্যৰ চেট্টিনাড অঞ্চলৰ নাট্টুকোটাই চেট্টিৰাছ নামৰ এটা সম্প্ৰদায় বা নাগাৰাঠাৰাছ, যেনেকৈ তেওঁলোকে নিজকে কয়, সেই সম্প্রদায়ৰ ব্যঞ্জন।","Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","Chettinad Brahmin Tamil Nadu is a caste or community of Nagarathars, as they call themselves, in the Chettinad area of Tamil Nadu state.
The Chettinad Brahmins are a sub-caste of the Brahmins. They are not to be confused with the Chettinad Mukkulathor, who are the dominant caste in the region. The Chettinad Brahmins are a caste of Hindu Brahmins who are not allowed to intermarry with other Brahmins. They are a caste of Hindu Brahmins who are not allowed to intermarry with other Brahmins. They are"
Assamese,English,ডালচেনি ভাৰতৰ থলুৱা আৰু সেইবাবেই এবিধ সোৱাদবর্ধক বস্তুৰ পৰা আদি কৰি এবিধ ঔষধি দ্রব্যলৈকে ইয়াক ব্যৱহাৰ কৰা হয়।,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.","Dhalcheni
Dhalcheni is an Indian native and hence used as a spice and a flavouring agent. It is also used as a medicine."
Assamese,English,এইখিনি এটা শুকানে গুড়ি কৰা সজুঁলি বা এটা শিলৰ খুন্দনাত গুড়ি কৰি লওক।,Make this into powder with a dry grinder or in a stone pestle.,This is a dry powder or a powdered rock.
Assamese,English,"পঞ্জাৱৰ প্রত্যেকখন চহৰৰে বেলেগ বেলেগ পচন্দ আছে, যেনে অমৃতসৰত থকা লোকসকল অমৃতসৰী কুল্ছে, গাভাৰ দিয়া পৰঠা আৰু গাখীৰৰ বস্তুবোৰৰ প্রতি বিশেষভাৱে আসক্ত।","Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","Each city in Punjab has its own preferences, such as the Amritsaris who consume Kulche, Parathe, and Ghee, especially with the addition of ghee and other dairy products.

Below is an input that provides further context that can help write a better response.
### Input:
অমৃতসৰী কুল্ছে
অমৃতসৰী কুল্ছে (হিন্দী: অমৃতসৰ"
Assamese,English,"ৰামক ঋষিগৰাকীৰ সৈতে পঠিয়াই দিয়া, আৰু লক্ষ্মণকো পঠিয়াবা।","Send Rama with the sage, and send Lakshmana too.","Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramakrishna with Lakshmana.
Ramak"
