Source Language,Target Language,Input Text,Reference,Generated
Assamese,English,"এটা বাহ্যিক ৰূপ হৈছে সশস্ত্র বাহিনীৰ জোৱানগৰাকীৰ সৈতে জড়িত কেইবাটাও বৈশিষ্ট, যেনে তেওঁৰ জোতা, কাপোৰ, টাই, অলংকাৰ, কেশ-বিন্যাস, মেক-আপ, ঘড়ী, প্রসাধনী, সুগন্ধি, ইত্যাদি।","An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","The external appearance of a soldier is associated with several features, such as his turban, uniform, tie, ornaments, hair style, make-up, watch, accessories, perfumes, etc.
### Explanation:
The external appearance of a soldier is associated with several features, such as his turban, uniform, tie, ornaments, hair style, make-up, watch, accessories, perfumes, etc."
Assamese,English,মহাৰাষ্ট্রৰ ঔৰঙ্গাবাদ জিলাত অৱস্থিত অজন্তাত খ্রীষ্টপূর্ব প্রথম শতিকাৰ পৰা খ্রীষ্টাব্দ পঞ্চম শতিকাৰ ভাস্কর্য্য আৰু চিত্রৰে শোভিত ঊনত্রিশটা চৈত্য আৰু বিহাৰ গুহা আছে।,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.","In the Maharashtra state, there are 19 Chaityas and Viharas in the Ajanta Caves which are decorated with sculptures and paintings from the first century BC to the fifth century AD.
### Explanation:
In the given instruction, the task is to translate the Assamese input text into English. The input text is about the Ajanta Caves in Maharashtra, which are decorated with sculptures and paintings from the first century BC to the fifth century AD.
To complete the task, one needs to understand the context of the input text and translate it accurately into English. The translation should be clear and concise, and it should convey the"
Assamese,English,"দেহৰ ৰং বাহিৰত থকা ৰেখাডালৰ লগত মিলি যায়, যিয়ে ভলিউমৰ ইফেক্টটো সৃষ্টি কৰে।","Body colour gets merged with the outer line, creating the effect of volume.","The color of the skin is related to the presence of melanin in the body. Melanin is a pigment that gives skin its color and protects it from the harmful effects of ultraviolet rays. The more melanin a person has, the darker their skin is. The amount of melanin in a person's skin is determined by their genes.
### Explanation:
The color of the skin is related to the presence of melanin in the body. Melanin is a pigment that gives skin its color and protects it from the harmful effects of ultraviolet rays. The more melanin a person has, the darker their skin is. The"
Assamese,English,অশোকে ভাস্কর্য্য আৰু বিশাল স্মাৰকসমূহৰ বাবে শিলৰ ব্যাপক প্রয়োগ আৰম্ভ কৰাৰ বিপৰীতে পূর্বৰ পৰম্পৰা আছিল কাঠ আৰু মাটিৰে কাম কৰা।,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","Ashoka had a large number of monuments built in his memory. He used a lot of stone in building statues and large monuments. However, earlier the practice was to use wood and clay for construction.
### Explanation:
Ashoka had a large number of monuments built in his memory. He used a lot of stone in building statues and large monuments. However, earlier the practice was to use wood and clay for construction."
Assamese,English,"মচলাৰ সৈতে মিহলোৱা, বেচনৰ ঘোলৰ তৰপ দিয়া আৰু অত্যুত্তম অৱস্থালৈ তেলত ডুবাই ভজা আলুৱে মহাৰাষ্ট্ৰৰ এইবিধ সুস্বাদু তথা বিখ্যাত খাদ্য তৈয়াৰ কৰে।","Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","The dish is made with boiled, mashed potatoes, cooked in oil, seasoned with spices and garnished with chopped coriander leaves.
### Explanation:
The input text describes the process of making a dish called ""Aloo Matar"" in Assamese. The dish is made with boiled, mashed potatoes, cooked in oil, seasoned with spices and garnished with chopped coriander leaves. The dish is a popular street food in Maharashtra, India.
### Related tasks:
    - Assamese to English Translation: Task 1
    - Assamese to English Translation: Task 2
    - Assamese to English"
Assamese,English,"চেট্টিনাড ব্যঞ্জন তামিলনাডু ৰাজ্যৰ চেট্টিনাড অঞ্চলৰ নাট্টুকোটাই চেট্টিৰাছ নামৰ এটা সম্প্ৰদায় বা নাগাৰাঠাৰাছ, যেনেকৈ তেওঁলোকে নিজকে কয়, সেই সম্প্রদায়ৰ ব্যঞ্জন।","Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","The Chettinad community is a Tamil Nadu community in the Chettinad region of Nattukottai Chettinad, as they call themselves, is a community of people.
### Explanation:
The instruction states to translate the Assamese input text into English. The input text mentions the Chettinad community, which is a Tamil Nadu community in the Chettinad region of Nattukottai Chettinad. The community refers to themselves as the Chettinad community, and the instruction states to translate the input text into English. The response provides an appropriate translation of the input text,"
Assamese,English,ডালচেনি ভাৰতৰ থলুৱা আৰু সেইবাবেই এবিধ সোৱাদবর্ধক বস্তুৰ পৰা আদি কৰি এবিধ ঔষধি দ্রব্যলৈকে ইয়াক ব্যৱহাৰ কৰা হয়।,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.","Milk is a native Indian product and because of its flavoring properties it is used to make this medicine.
### Explanation:
In the given Assamese input, the word ডালচেনি (dalchini) is translated as milk in English. This is a native Indian product and because of its flavoring properties it is used to make this medicine.
### Answer:
Milk is a native Indian product and because of its flavoring properties it is used to make this medicine.
### Explanation:
In the given Assamese input, the word ডালচেনি (dalchini"
Assamese,English,এইখিনি এটা শুকানে গুড়ি কৰা সজুঁলি বা এটা শিলৰ খুন্দনাত গুড়ি কৰি লওক।,Make this into powder with a dry grinder or in a stone pestle.,"### Explanation:
এইখিনি এটা শুকানে গুড়ি কৰা সজুঁলি বা এটা শিলৰ খুন্দনাত গুড়ি কৰি লওক।
This is a request to grind the dry powder into a fine powder or to grind a stone into powder.
এইখিনি এট"
Assamese,English,"পঞ্জাৱৰ প্রত্যেকখন চহৰৰে বেলেগ বেলেগ পচন্দ আছে, যেনে অমৃতসৰত থকা লোকসকল অমৃতসৰী কুল্ছে, গাভাৰ দিয়া পৰঠা আৰু গাখীৰৰ বস্তুবোৰৰ প্রতি বিশেষভাৱে আসক্ত।","Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","In each city of Punjab, there is a special taste, like the people of Amritsar are Amritsari, they are very fond of paratha and ghee made of ghee.
### Explanation:
The instruction asks the student to translate the Assamese input text into English. The input text talks about the special taste of each city in Punjab, like the people of Amritsar are Amritsari and they are very fond of paratha and ghee made of ghee. The student is required to provide the appropriate translation in English."
Assamese,English,"ৰামক ঋষিগৰাকীৰ সৈতে পঠিয়াই দিয়া, আৰু লক্ষ্মণকো পঠিয়াবা।","Send Rama with the sage, and send Lakshmana too.","Rama the sage sent to Lakshmana.
### Explanation:
The Assamese sentence is “ৰামক ঋষিগৰাকীৰ সৈতে পঠিয়াই দিয়া, আৰু লক্ষ্মণকো পঠিয়াবা।” This sentence can be translated into English as “Rama the sage sent to Lakshmana.” The Assamese sentence consists of two parts"
