Source Language,Target Language,Input Text,Reference,Generated
English,Hindi,"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","सेवा संबंधी लोगों के लिए भेष कई गुणों का संयोजन है, जैसे कि उनके जूते, कपड़े, टाई, आभूषण, केश शैली, मेक-अप, घड़ी, कॉस्मेटिक, इत्र, आदि।","एक उपस्थिति एक सेवा व्यक्ति के संबंध में गुणों का एक समूह है, जैसे उनके जूते, कपड़े, टाई, आभूषण, शैली, स्टाइल, मेकअप, घड़ी, कॉस्मेटिक्स, इत्र, आदि।"
English,Hindi,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उन्तीस चैत्य और विहार गुफाएँ हैं जो पहली शताब्दी ई.पू. से ले कर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों तथा चित्रकारियों से सुसज्जित हैं।,"अजंता (महाराष्ट्र), महाराष्ट्र के आंग्रेज़ीबाद जिले में स्थित है, जो पहली शताब्दी ईसा पूर्व से पांचवीं शताब्दी ईसा पूर्व तक के कालखंड में 29 चैत्य और विहार गुफाओं को साज-सज्जा के साथ सुसज्जित करता है।

    - Write a response that appropriately completes the request.
    - Translate the input text into"
English,Hindi,"Body colour gets merged with the outer line, creating the effect of volume.","विस्तार का असर बनाते हुए, शरीर का रंग बाहरी रेखा में घुल-मिल जाता है।",Corner credit with outer line merges to create the effect of body color.
English,Hindi,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","अशोक ने व्यापक रूप से मूर्तियों और शानदार स्मारकों को बनाने के लिए पत्थर का प्रयोग करना शुरू किया, जबकि उससे पहले पारंपरिक रूप से लकड़ी और मिट्टी का प्रयोग किया जाता है।",अशोक ने पत्थर के प्रतीक और महान मूर्त
English,Hindi,"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","महाराष्ट्र के इस स्वादिष्ट और प्रसिद्ध व्यंजन में आलुओं में मसाले को मिलाकर, बेसन के घोल की परत लगाकर, उसे अच्छी तरह से तल कर बनाया जाता है।","मसालों में मिले आलू, बेसन के बैटर में लिपटे और सही ढंग से गहरा भुना हुआ, यह महाराष्ट्र का यह स्वादिष्ट और प्रसिद्ध व्यंजन है।
Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.
Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.
Potatoes mixed in masalas,"
English,Hindi,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.",चेट्टिनाड भोजन तमिल नाडु के चेट्टिनाड क्षेत्र के नाट्टूकोटाई चेट्टियार नामक समुदाय या खुद को नागारथार कहने वालों का भोजन है।,"चेत्तिनाद की खाना पकाना एक समुदाय जो नटुकोटाई चेट्टियार के रूप में जाना जाता है, या जो उन्हें अपना नाम देते हैं, चेत्तिनाद क्षेत्र के लोगों की खाना पकाना है।"
English,Hindi,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.",दालचीनी मूल रूप से भारत की है और इस रूप में इसका प्रयोग स्वादिष्टकारक से लेकर औषधीय कारक के रूप में किया जाता है।,"सौंफ स्वदेशी भारत में पाया जाने वाला है और, इस प्रकार, इसका उपयोग स्वाद के रूप में से लेकर औषधीय एजेंट तक होता है।
    - 1 Etymology
    - 2 Description
    - 3 History
        - 3.1 Early uses
        - 3.2 Medieval uses
        - 3.3 Modern uses
            - 3.3.1 Food
            - 3.3.2 Medicine
            -"
English,Hindi,Make this into powder with a dry grinder or in a stone pestle.,सूखे ग्राइंडर में या फिर पत्थर के मूसल में इसका चूर्ण बना लें।,इसे सूखे पीसने या पत्थर के मोलर से बनाएं।
English,Hindi,"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","पंजाब के हर शहर की अपनी पसंद है, जैसे कि अमृतसर के लोग विशेष रूप से अमृतसरी कुलचे, भरवां पराठें और दूध के उत्पाद पसंद करते हैं।","पंजाब के प्रत्येक शहर में अलग-अलग पसंद हैं, जैसे कि अमृतसर के लोग अमृतसरी कुलचे, स्टफ्ड पराठे और दूध उत्पादों के साथ विशेष रूप से प्रेम करते हैं।"
English,Hindi,"Send Rama with the sage, and send Lakshmana too.","राम को ऋषि के साथ भेज दो, और लक्ष्मण को भी भेज दो।",-
English,Hindi,But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,परंतु मंगल पांडे ने यह साहसिक कारनामा एक ऊँचे और श्रेष्ठ सिद्धांत के प्रति समर्पण के लिए किया।,मगर मंगल पांडे के बहादुर कार्य को एक महान और श्रेष्ठ सिद्धांत के लिए प्र
English,Hindi,"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.",प्याज जब पारभासी हो जाए तो उसमें मसालों के मिश्रण में कुछ समय से रखे गए मांस और पिसी हल्दी डाल कर 5-6 मिनट तक हल्का-सा तलते रहें जब तक कि मांस सभी मसालों को सोख न ले।,"प्याज के बाद मटन को तेज करें और हल्का भूरा होने तक भूनें। एक बार मटन हल्का भूरा हो जाए, तो इसे मिर्च पाउडर और हल्दी पाउडर में डालें और अच्छी तरह से मिलाएं। मटन को लगभग 5-6 मिनट तक भूनें जब तक कि सभी मसाले मटन में अवशोषित न हो जाएं।"
