Source Language,Target Language,Input Text,Reference,Generated
English,Bengali,"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","বাহ্য রূপ হল সেই পরিষেবা প্রদানকারী মানুষ সম্বন্ধীয় এক গুচ্ছ বৈশিষ্ট্য যেমন, তার জুতো, জামাকাপড়, টাই, গয়না, চুলের ধরন, রূপসজ্জা, ঘড়ি, প্রসাধনী, সুগন্ধি, ইত্যাদি।","একটি আপাতরূপ হল সেবা ব্যক্তির সম্পর্কিত বৈশিষ্ট্যগুলির একটি বাক্যাংশ, যেমন তাদের জুতা, বস্ত্র, টাই, জুহা�"
English,Bengali,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",মহারাষ্ট্রের ঔরঙ্গাবাদ জেলায় অবস্থিত অজন্তায় খ্রিষ্টপূর্ব প্রথম শতাব্দী থেকে খ্রিষ্টীয় পঞ্চম শতাব্দীর ভাস্কর্য এবং চিত্রকলায় সজ্জিত ঊনত্রিশটি চৈত্য এবং বিহার গুহা রয়েছে।,"আজান্তা, মহারাষ্ট্রের আউরঙ্গাবাদ জেলার একটি সিত্তাল গুহা অঞ্চল যা প্রায় প্রথম শতাব্দী খ্রিস্টপূর্ব থেকে প্র"
English,Bengali,"Body colour gets merged with the outer line, creating the effect of volume.",গায়ের রঙের সঙ্গে দেহরেখা মিশে গিয়ে ঘনত্বের আভাস তৈরি করে।,গাড়ির বাইরের রেখাটি সাথে লিঙ্ক করা হয় যাতে বল বৃদ্ধি পেতে পারে।
English,Bengali,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","যেখানে পূর্ববর্তী ঐতিহ্য ছিল কাঠ ও মাটি দিয়ে নির্মাণ করা, অশোক সেখানে ভাস্কর্য এবং মহান স্মৃতিস্তম্ভ নির্মাণের কাজে ব্যাপকভাবে পাথরের ব্যবহার শুরু করেন।","অশোক প্রথম প্রাচীন ভারতীয় স্কুলে প্রথম প্রচলিত পাথর প্রয়োগ করতে শুরু করে, যখন পূর্ববর্তী ঐতিহ্য ক"
English,Bengali,"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","আলুতে মশলা মাখিয়ে, ফেটানো বেসনে চুবিয়ে নিয়ে ডুবো তেলে ভাজা যতক্ষণ না ভালো করে ভাজা হচ্ছে, তৈরি করা হয় মহারাষ্ট্রের এই সুস্বাদু ও জনপ্রিয় খাবারের পদ।","পটেটোস মিক্স মসলা, বেসান ব্যাটারে পাতলা করা এবং ভালভাবে গভীর ভাজা হয় এই দক্ষিণ ভারতীয় বিশেষ পাতলা পটে"
English,Bengali,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","চেট্টিনাড় রন্ধনপ্রণালী হলো তামিলনাড়ু রাজ্যের চেট্টিনাড় অঞ্চলের নাট্টুকোটাই চেট্টিয়ার, অথবা তাদের নিজেদের দেওয়া নাম অনুযায়ী নগরত্তার নামক একটি সম্প্রদায়ের এক রন্ধনপ্রণালী।","চেট্টিনাদ খাবার হল একটি সম্প্রদায়ের খাবার যা নাট্টুকোটাই চেট্টিয়ার নামে পরিচিত, যারা তাদের নিজেদের নাগরাথার নাম"
English,Bengali,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.",দারুচিনি ভারতে মূলভাবে উৎপাদিত এবং এর ব্যবহার গন্ধবিশিষ্ট দ্রব্য থেকে আরম্ভ করে ঔষধি দ্রব্য হিসেবে হয়।,"করমলাট ভারতে স্থানীয় এবং যেহেতু এটি ভারতের স্থানীয় সংস্কৃতি, তাই এর ব্যবহার থেকে একটি রঙ্গসম্বৃ�"
English,Bengali,Make this into powder with a dry grinder or in a stone pestle.,এই সবগুলোকে একটা শুকনো জাঁতাকল বা শিলনোড়ায় গুঁড়ো করুন।,"এটাকে শুষ্ক গ্রাইন্ডার বা পাথরের পেস্টলে পাউডার বানাও।
বিশ্লেষণ করুন।
বিশ্লেষণ করুন।
বিশ্লেষণ করুন।
বিশ্লেষণ ক"
English,Bengali,"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","পঞ্জাবের একেকটি শহরের পছন্দ একেক রকমের, যেমন অমৃতসরের লোকেরা অমৃতসরী কুলচা, পুরভরা পরোটা এবং দুগ্ধজাত পণ্য বেশি পছন্দ করে।","পাঞ্জাবের প্রতিটি শহরে বিভিন্ন প্রিয় খাবার আছে, যেমন অ্যামৃতসারের লোকেরা অ্যামৃতসারি কুলচি, স্টাফড পারান্থা এ"
English,Bengali,"Send Rama with the sage, and send Lakshmana too.",রামকে এই ঋষির সঙ্গে পাঠান এবং লক্ষ্মণকেও পাঠান।,সেন্দ্রম্বিনু রামকে সাধুকে পাঠান এবং লক্ষ্মণকেও পাঠান।
English,Bengali,But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,"কিন্তু মঙ্গল পাণ্ডের বীরত্বসূচক কাজ, উচ্চ ও মহৎ নীতির প্রতি নিষ্ঠার মাধ্যমে সম্পাদিত হয়েছিল।",বুট মঙ্গল পান্দের সাহসিক কাজটি একটি উঁচু এবং নীতিবান প্রতিজ্ঞার উদ্দেশ্যে প্রতিজ্ঞা করা হয়।
English,Bengali,"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","পেঁয়াজগুলি স্বচ্ছ্ব হয়ে এলে, মাখিয়ে রাখা পাঁঠার মাংস হলুদ গুঁড়োর সঙ্গে দিয়ে দিন এবং সমস্ত মশলা মাংসে না ঢোকা পর্যন্ত ৫-৬ মিনিট মতো কিছু সময় ধরে কষতে থাকুন।","পুদিনা মাংসের বাদাম দিয়ে ভাজা মাংস তৈরি করুন।
পুদিনা মাংস বাদাম দিয়ে ভাজা মাংস তৈরি করুন।
মাংস পুদিনা দিয়ে"
English,Bengali,"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","হিতোপদেশ হল পাখি, পশু ও মানুষের চরিত্রের মাধ্যমে বোঝানো পার্থিব জ্ঞানের একটি বই।",হিতোপদেশ হল পাঁচটি ভাষায় রচিত পাঁচটি ভাষায় রচিত একটি প্রাচীন ভারতীয় কাল্পনিক গল্প বই। এটি অষ্টম থে�
English,Bengali,The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,এই বইটির উদ্দেশ্য দাঁড়ালো গিয়ে সংস্কৃতে মতপ্রকাশের দক্ষতাকে এবং জ্ঞানগর্ভ আচার-আচরণের শিক্ষাকে উৎসাহিত করা।,"বইটির উদ্দেশ্য সংস্কৃত ব্যবহার ও জ্ঞানের জ্ঞান অর্জন করার জন্য দেখতে মনে হয়।

Below is an input that provides further context that can help write a better response.
### Input:
The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of"
