Source Language,Target Language,Input Text,Reference,Generated
English,Assamese,"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","এটা বাহ্যিক ৰূপ হৈছে সশস্ত্র বাহিনীৰ জোৱানগৰাকীৰ সৈতে জড়িত কেইবাটাও বৈশিষ্ট, যেনে তেওঁৰ জোতা, কাপোৰ, টাই, অলংকাৰ, কেশ-বিন্যাস, মেক-আপ, ঘড়ী, প্রসাধনী, সুগন্ধি, ইত্যাদি।","এক এপিয়ারেন্স হল সেবা প্ৰদানকাৰীৰ সৈতে সম্পৰ্কিত বহুতো গুণ যেনে তেওঁৰ জুটী, কাপোৰ, টাই, জুহুৱ"
English,Assamese,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",মহাৰাষ্ট্রৰ ঔৰঙ্গাবাদ জিলাত অৱস্থিত অজন্তাত খ্রীষ্টপূর্ব প্রথম শতিকাৰ পৰা খ্রীষ্টাব্দ পঞ্চম শতিকাৰ ভাস্কর্য্য আৰু চিত্রৰে শোভিত ঊনত্রিশটা চৈত্য আৰু বিহাৰ গুহা আছে।,"আজান্তা, মহারাষ্ট্ৰৰ আৰুংগাবাদ জিলাত অৱস্থিত এটা চৰল চৰুল, প্ৰথম শতিকা খ্ৰীষ্টপূৰ্বৰ পৰা পঞ্চম শ�"
English,Assamese,"Body colour gets merged with the outer line, creating the effect of volume.","দেহৰ ৰং বাহিৰত থকা ৰেখাডালৰ লগত মিলি যায়, যিয়ে ভলিউমৰ ইফেক্টটো সৃষ্টি কৰে।","গৰম বৰণ বাহিৰৰ লাইনৰ সৈতে মিশ্ৰিত হয়, আৰু পৰিমাণ বৰণৰ প্ৰভাৱ সৃষ্টি কৰে।"
English,Assamese,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.",অশোকে ভাস্কর্য্য আৰু বিশাল স্মাৰকসমূহৰ বাবে শিলৰ ব্যাপক প্রয়োগ আৰম্ভ কৰাৰ বিপৰীতে পূর্বৰ পৰম্পৰা আছিল কাঠ আৰু মাটিৰে কাম কৰা।,"এছহোকাৰ দ্বাৰা প্ৰশস্ত ব্যৱহাৰ কৰা পাথৰৰ বাবে স্কুলপটাৰ আৰু বৃহৎ স্মাৰকৰ প্ৰচেষ্টা, আনহাতে পূ�"
English,Assamese,"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","মচলাৰ সৈতে মিহলোৱা, বেচনৰ ঘোলৰ তৰপ দিয়া আৰু অত্যুত্তম অৱস্থালৈ তেলত ডুবাই ভজা আলুৱে মহাৰাষ্ট্ৰৰ এইবিধ সুস্বাদু তথা বিখ্যাত খাদ্য তৈয়াৰ কৰে।",পটেটা মিশ্ৰ কৰি মাছালাৰে আচৰিত কৰা হয় আৰু বেচান বাতৰাৰে আচৰিত কৰা হয় আৰু দীঘনি ভালকৈ প্ৰস্তুত ক
English,Assamese,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","চেট্টিনাড ব্যঞ্জন তামিলনাডু ৰাজ্যৰ চেট্টিনাড অঞ্চলৰ নাট্টুকোটাই চেট্টিৰাছ নামৰ এটা সম্প্ৰদায় বা নাগাৰাঠাৰাছ, যেনেকৈ তেওঁলোকে নিজকে কয়, সেই সম্প্রদায়ৰ ব্যঞ্জন।",চেট্টিনাড খাবল হৈছে একটি সম্প্ৰদায়ৰ খাবল যিয়ে নাটুকোটাই চেট্টিয়াৰ বা নাগৰাথাৰ বুলি আত্মপ্ৰকাশ ক�
English,Assamese,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.",ডালচেনি ভাৰতৰ থলুৱা আৰু সেইবাবেই এবিধ সোৱাদবর্ধক বস্তুৰ পৰা আদি কৰি এবিধ ঔষধি দ্রব্যলৈকে ইয়াক ব্যৱহাৰ কৰা হয়।,চিনামন
English,Assamese,Make this into powder with a dry grinder or in a stone pestle.,এইখিনি এটা শুকানে গুড়ি কৰা সজুঁলি বা এটা শিলৰ খুন্দনাত গুড়ি কৰি লওক।,এই তৈয়ার করো পোৱাৰ দ্ৰব্য এক শুষ্ক গ্ৰিন্ডাৰ বা এক প্ৰাচীন পেষ্টেল দ্বাৰা।
English,Assamese,"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","পঞ্জাৱৰ প্রত্যেকখন চহৰৰে বেলেগ বেলেগ পচন্দ আছে, যেনে অমৃতসৰত থকা লোকসকল অমৃতসৰী কুল্ছে, গাভাৰ দিয়া পৰঠা আৰু গাখীৰৰ বস্তুবোৰৰ প্রতি বিশেষভাৱে আসক্ত।","আমৰিতসাৰী কুলচা, সমৃদ্ধ পৰান্থা আৰু দুগ্ধ পদাৰ্থসমূহৰ বাবে প্ৰজন্মৰ প্ৰশংসা কৰা পঞ্জাবৰ প্ৰত"
English,Assamese,"Send Rama with the sage, and send Lakshmana too.","ৰামক ঋষিগৰাকীৰ সৈতে পঠিয়াই দিয়া, আৰু লক্ষ্মণকো পঠিয়াবা।",সেন্দ্ৰীয় ভূমি নিজৰ ক্ষতিগ্ৰস্ত নাগৰিকসকলক সমাধান কৰিবলৈ কেন্দ্ৰীয় সৰ্বস্ত্ৰ সৈন্য সকলক প্ৰতি�
