Source Language,Target Language,Input Text,Reference,Generated
Telugu,English,"బాహ్య రూపం అనేది సేవ చేసే వ్యక్తి తాలూకు బూట్లు, బట్టలు, టై, ఆభరణాలు, కేశాలంకరణ, అలంకరణ, గడియారం, సౌందర్య సాధనాలు,అత్తరు మొదలైనటువంటి వాటికి సంబంధించిన లక్షణాల సమాహారం.","An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","The outer form is a collection of features related to services such as boots, clothes, ties, jewellery, hair styling, decoration, clocks, beauty aids, etc.
### Explanation:
The given input is in Telugu. The outer form is a collection of features related to services such as boots, clothes, ties, jewellery, hair styling, decoration, clocks, beauty aids, etc.
### Answer:
The outer form is a collection of features related to services such as boots, clothes, ties, jewellery, hair styling, decoration, clocks, beauty aids, etc."
Telugu,English,"మహారాష్ట్ర లోని ఔరంగాబాద్ జిల్లాలో నెలకొని ఉన్నఅజంతా, ఇరవై తొమ్మిది చైత్యా మరియు విహారా గుహలు కలిగి ఉంది, ఇవి క్రీ పూ ఒకటవ శతాబ్దం- క్రీ శ ఐదవ శతబ్దం మధ్య కాలపు శిల్పాలు మరియు చిత్రాలతో అలంకరించబడి ఉంటాయి.","Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.","Aurangabad district in Maharashtra is home to Ajanta, a cave complex containing 29 Buddhist temples and viharas, which were carved out of rock during the first and fifth centuries AD.
### Explanation:
The instruction is to translate the Telugu input text into English. The input text describes the Ajanta caves in Maharashtra, India, which are a UNESCO World Heritage Site. The caves are a collection of Buddhist temples and viharas that were carved out of rock during the first and fifth centuries AD. The caves are known for their intricate carvings and paintings, which depict scenes from the life of the Buddha and other Buddhist"
Telugu,English,"శరీరపు రంగు ఆవరణరేఖతో కలిసిపోయి, ఘనపరిమాణ భావం కలిగిస్తుంది.","Body colour gets merged with the outer line, creating the effect of volume.","The body shape combined with the contour line of the color envelope produces a three-dimensional feeling.
### Explanation:
The body shape combined with the contour line of the color envelope produces a three-dimensional feeling.
This sentence is translated from Telugu to English. The body shape combined with the contour line of the color envelope produces a three-dimensional feeling. The body shape combined with the contour line of the color envelope produces a three-dimensional feeling.
The sentence is translated from Telugu to English. The body shape combined with the contour line of the color envelope produces a three-dimensional feeling. The body shape combined with the contour line of the color envelope produces a three"
Telugu,English,"అశోకుడు శిల్పాలు, గొప్ప కట్టడాల కోసం రాతిని విస్తృతంగా ఉపయోగించడం మొదలుపెట్టాడు, కాగా అంతకు మునుపటి సంప్రదాయంలో చెక్క మరియు బంకమట్టిని ఉపయోగించేవారు.","Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","Ashoka began to use stone extensively for his sculptures and great buildings, while previously, people used to use wood and clay."
Telugu,English,"మహారాష్ట్రకు చెందిన ఈ రుచికరమైన, ప్రసిద్ధ వంటకాన్ని తయారు చేయడానికి బంగాళాదుంపలను మసాలాలతో కలిపి, శనగపిండిలో ముంచి నూనెలో బాగా వేయిస్తారు.","Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","This is a famous dish from the state of Maharashtra. It is made by frying the onions in oil and then adding the spices. The dish is then served with rice or bread.

Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.
### Instruction:
Translate the Telugu input text into English.
### Input:
మహారాష్ట్రకు చెందిన ఈ రుచికర"
Telugu,English,"చెట్టినాడ్ వంట శైలి తమిళనాడు రాష్ట్రంలోని చెట్టినాడ్ ప్రాంతానికి చెందిన నాట్టుకోట్టై చెట్టియార్లు, లేదా నగరత్తార్లు అని వారిని వారు పిలుచుకొనే సముదాయానికి చెందిన వంట శైలి.","Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","The Chettinad cuisine is a cuisine of the Chettinad region of Tamil Nadu. It is a style of cooking that is typical to the people of the region and is often associated with the Tamil community of the region. It is also referred to as the ""Nattu Kottai Chettiyar"" or ""Nagarattar"" cuisine."
Telugu,English,"దాల్చినచెక్క భారతదేశానికి స్థానికమైనది, అలాగే దాని ఉపయోగాల పరిధి సువాసనా సాధకానికి సంబంధించడం నుండి ఔషధ సాధకానికి సంబంధించే వరకు ఉంటాయి.","Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.","The native to India, the use of cardamom extends from being a spice to a flavoring agent to a medicinal herb.
### Explanation:
The native to India, the use of cardamom extends from being a spice to a flavoring agent to a medicinal herb.
### Correct Answer:
The native to India, the use of cardamom extends from being a spice to a flavoring agent to a medicinal herb.
### Explanation:
The native to India, the use of cardamom extends from being a spice to a flavoring agent to a medicinal herb.
### Correct Answer:
The native to India, the use of cardam"
Telugu,English,దీనిని తిరగలిలో గాని లేదా రోట్లో గాని పొడిగా చేయండి.,Make this into powder with a dry grinder or in a stone pestle.,Please turn the input text over or upside down.
Telugu,English,"పంజాబులో ప్రతీ నగరం విభిన్నమైన అభిరుచులు కలిగి ఉంటుంది, ఎలాగంటే అమృత్‌సర్‌లోని ప్రజలకు అమృత్‌సరి కుల్చాలు, స్టఫ్డ్ పరాఠాలు, పాల ఉత్పత్తులంటే ఇష్టం.","Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","Every city in Punjab has different tastes, for example, the people of Amritsar like Amritsari kulcha, stuffed parathas, and milk products.
### Explanation:
The input text is a sentence in Telugu, which translates to ""Every city in Punjab has different tastes, for example, the people of Amritsar like Amritsari kulcha, stuffed parathas, and milk products."" The instruction is to translate the input text into English.
To translate the sentence, we can use a Telugu-English dictionary or a translation website to look up the words and phrases in the sentence. We can then"
Telugu,English,"రాముడిని మునితో పంపించండి, అలాగే లక్ష్మణుడిని కూడా పంపించండి.","Send Rama with the sage, and send Lakshmana too.",Translate the Telugu input
