Source Language,Target Language,Input Text,Reference,Generated
English,Telugu,"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","బాహ్య రూపం అనేది సేవ చేసే వ్యక్తి తాలూకు బూట్లు, బట్టలు, టై, ఆభరణాలు, కేశాలంకరణ, అలంకరణ, గడియారం, సౌందర్య సాధనాలు,అత్తరు మొదలైనటువంటి వాటికి సంబంధించిన లక్షణాల సమాహారం.",ఒక కనిపించే వ్యక్తి కనిపించే వ్యక్తి అనేది సేవకుడి విశేషాలను కలిగి ఉన్న సమ
English,Telugu,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.","మహారాష్ట్ర లోని ఔరంగాబాద్ జిల్లాలో నెలకొని ఉన్నఅజంతా, ఇరవై తొమ్మిది చైత్యా మరియు విహారా గుహలు కలిగి ఉంది, ఇవి క్రీ పూ ఒకటవ శతాబ్దం- క్రీ శ ఐదవ శతబ్దం మధ్య కాలపు శిల్పాలు మరియు చిత్రాలతో అలంకరించబడి ఉంటాయి.","అజంతా, మహారాష్ట్రలోని అరంగాబాద్ జిల్లాలో మొదటి శతాబ్దం బ్లూలో నుండి ఐదవ శ�"
English,Telugu,"Body colour gets merged with the outer line, creating the effect of volume.","శరీరపు రంగు ఆవరణరేఖతో కలిసిపోయి, ఘనపరిమాణ భావం కలిగిస్తుంది.",బాడీ కళ్లు బాహ్య రేఖకు కలిసి వెలుపలి వెలుపల వెలుపల వెలుపల వెలుపల వెలుపల వెల
English,Telugu,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","అశోకుడు శిల్పాలు, గొప్ప కట్టడాల కోసం రాతిని విస్తృతంగా ఉపయోగించడం మొదలుపెట్టాడు, కాగా అంతకు మునుపటి సంప్రదాయంలో చెక్క మరియు బంకమట్టిని ఉపయోగించేవారు.","అశోకుడు వివిధ విషయాలకు శిలలను ఉపయోగించడం మొదలుపెట్టాడు, ముందు పద్ధతి వాట�"
English,Telugu,"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","మహారాష్ట్రకు చెందిన ఈ రుచికరమైన, ప్రసిద్ధ వంటకాన్ని తయారు చేయడానికి బంగాళాదుంపలను మసాలాలతో కలిపి, శనగపిండిలో ముంచి నూనెలో బాగా వేయిస్తారు.",మసాలా పచ్చి కూరగాయల తో కలిసి బెసాన్ బ్యాటరీతో ద్రవికించి మహారాష్ట్ర ప్రసి
English,Telugu,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","చెట్టినాడ్ వంట శైలి తమిళనాడు రాష్ట్రంలోని చెట్టినాడ్ ప్రాంతానికి చెందిన నాట్టుకోట్టై చెట్టియార్లు, లేదా నగరత్తార్లు అని వారిని వారు పిలుచుకొనే సముదాయానికి చెందిన వంట శైలి.",చెట్టినాడ్ వంటకాలు అనేది చెట్టినాడ్ ప్రాంతానికి చెందిన నాట్టుకోటై చెట్ట
English,Telugu,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.","దాల్చినచెక్క భారతదేశానికి స్థానికమైనది, అలాగే దాని ఉపయోగాల పరిధి సువాసనా సాధకానికి సంబంధించడం నుండి ఔషధ సాధకానికి సంబంధించే వరకు ఉంటాయి.","సైన్నామాన్ కారణంగా ఇది భారతదేశం నుండి మూలంగా ఉంది, అందువల్ల దీని ఉపయోగం రు�"
English,Telugu,Make this into powder with a dry grinder or in a stone pestle.,దీనిని తిరగలిలో గాని లేదా రోట్లో గాని పొడిగా చేయండి.,ఈనియం పావురాన్ని శుష్కగ్రంథి లేదా కల్లాలు లోపల వేడి మరియు విలీనం చేయడం ద్వ
English,Telugu,"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","పంజాబులో ప్రతీ నగరం విభిన్నమైన అభిరుచులు కలిగి ఉంటుంది, ఎలాగంటే అమృత్‌సర్‌లోని ప్రజలకు అమృత్‌సరి కుల్చాలు, స్టఫ్డ్ పరాఠాలు, పాల ఉత్పత్తులంటే ఇష్టం.","పంజాబ్ లో ప్రతి నగరం వేరువేరు పంచులుగా ఉంటాయి, వారిలో అమృత్సర్ వాసులు అమృత�"
English,Telugu,"Send Rama with the sage, and send Lakshmana too.","రాముడిని మునితో పంపించండి, అలాగే లక్ష్మణుడిని కూడా పంపించండి.",రాముడు శాపగ్రస్తుడైన బాలుడిగా పుట్టాడు. మరియు సాయపురుషులు తమ పనిని పూర్త�
English,Telugu,But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,"అయితే మంగళ్ పాండే యొక్క సాహస కృత్యం, ఉన్నతమైన, ఉదాత్తమైన సిద్ధాంతం పట్ల భక్తితో చేయబడినది.",మంగళ్ పాండే యొక్క పాటవం విశ్వసనీయమైన విశ్వాసానికి మరియు అదృష్టవంతమైన అదృ
English,Telugu,"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","ఉల్లిపాయలు మగ్గాక, నానబెట్టిన మటన్ తో బాటు పసుపు వేసి కాసేపు మసాలాలన్నీ మటన్ పీల్చుకునేదాకా ఒక 5-6 నిమిషాలబాటు వేయించుకోవాలి.","సాగులో కొన్ని నిమిషాలు సాగిన తరువాత, తెలుపు సింగిస్ మరియు తుర్మేరిక్ పొవ్�"
English,Telugu,"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","హితోపదేశ అనేది పక్షులు, జంతువులు, మానవ పాత్రల ద్వారా ప్రాపంచిక జ్ఞానాన్ని అందించే గ్రంథం.","హిటోపదేశం అనేది పక్షులు, జంతువులు, మనుషుల పాత్రలలో ప్రదర్శించబడిన ప్రపంచ"
English,Telugu,The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,సంస్కృత వ్యక్తీకరణలో ప్రావీణ్యాన్ని మరియు వివేకవంతమైన ప్రవర్తనకు సంబంధించిన జ్ఞానాన్ని ప్రోత్సహించడం ఈ పుస్తకం యొక్క ఉద్దేశ్యంగా కనిపిస్తోంది.,"పుస్తకం యొక్క ఉద్దేశం ప్రకాశించడానికి ప్రాథమికంగా సంస్కృత వ్యాకరణం, మాన�"
English,Telugu,Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.,ప్రొఫెసర్ అసిత్ కుమార్ బందోపాధ్యాయ్ ఆయన సొంతఊరు హౌరా సంపూర్ణ చరిత్రను 1994 మరియు 1995 లో హౌరా సహరర్ ఇతిబ్రిత్తో పేరున (మొదటి మరియు రెండవ భాగం) సంకలనం చేయడంలో మార్గదర్శకులుగా వ్యవహరించారు.,ప్రొఫెసర్ అసిట్కుమార్ బంద్యోపాధ్యాయ తన ఊరు హౌరా యొక్క సముపాయం చేయబడిన చరి
