Source Language,Target Language,Input Text,Reference,Generated
English,Telugu,"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","బాహ్య రూపం అనేది సేవ చేసే వ్యక్తి తాలూకు బూట్లు, బట్టలు, టై, ఆభరణాలు, కేశాలంకరణ, అలంకరణ, గడియారం, సౌందర్య సాధనాలు,అత్తరు మొదలైనటువంటి వాటికి సంబంధించిన లక్షణాల సమాహారం.","అప్పరెన్స్ అనేది సేవా వ్యక్తిపై సంబంధించిన అనేక లక్షణాలను కలిగి ఉంటుంది, �"
English,Telugu,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.","మహారాష్ట్ర లోని ఔరంగాబాద్ జిల్లాలో నెలకొని ఉన్నఅజంతా, ఇరవై తొమ్మిది చైత్యా మరియు విహారా గుహలు కలిగి ఉంది, ఇవి క్రీ పూ ఒకటవ శతాబ్దం- క్రీ శ ఐదవ శతబ్దం మధ్య కాలపు శిల్పాలు మరియు చిత్రాలతో అలంకరించబడి ఉంటాయి.","అజంతా, మహారాష్ట్రలోని అవరంగాబాద్ జిల్లాలో మొదటి శతాబ్దం క్రి.శ. నుండి ఐదవ �"
English,Telugu,"Body colour gets merged with the outer line, creating the effect of volume.","శరీరపు రంగు ఆవరణరేఖతో కలిసిపోయి, ఘనపరిమాణ భావం కలిగిస్తుంది.","కార్పెంట్ రంగం బాహ్య లైన్లో మిళితమై, వాల్యూమ్ అనే ప్రభావాన్ని సృష్టిస్తు�"
English,Telugu,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","అశోకుడు శిల్పాలు, గొప్ప కట్టడాల కోసం రాతిని విస్తృతంగా ఉపయోగించడం మొదలుపెట్టాడు, కాగా అంతకు మునుపటి సంప్రదాయంలో చెక్క మరియు బంకమట్టిని ఉపయోగించేవారు.",అశోకుడు చిత్రాలు మరియు మహా స్మారక చిహ్నాలకు రాయి ఉపయోగించడం ప్రారంభించాడ
English,Telugu,"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","మహారాష్ట్రకు చెందిన ఈ రుచికరమైన, ప్రసిద్ధ వంటకాన్ని తయారు చేయడానికి బంగాళాదుంపలను మసాలాలతో కలిపి, శనగపిండిలో ముంచి నూనెలో బాగా వేయిస్తారు.","పట్టాటా మిశ్రమం బెసన్ బ్యాటరీలో మసాలా మిశ్రమంతో మిశ్రమం చేయబడి, సరైన పద్ధ�"
English,Telugu,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","చెట్టినాడ్ వంట శైలి తమిళనాడు రాష్ట్రంలోని చెట్టినాడ్ ప్రాంతానికి చెందిన నాట్టుకోట్టై చెట్టియార్లు, లేదా నగరత్తార్లు అని వారిని వారు పిలుచుకొనే సముదాయానికి చెందిన వంట శైలి.",చెట్టినాడ్ వంటకాలు తమిళనాడు రాష్ట్రంలోని చెట్టినాడ్ ప్రాంతంలోని ఒక సమాజ
English,Telugu,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.","దాల్చినచెక్క భారతదేశానికి స్థానికమైనది, అలాగే దాని ఉపయోగాల పరిధి సువాసనా సాధకానికి సంబంధించడం నుండి ఔషధ సాధకానికి సంబంధించే వరకు ఉంటాయి.","స్పైస్ చేయబడిన కారిడామం
కారిడామం ఒక మృదువైన, కారిడామం నుండి స్వాదం కలిగిన"
English,Telugu,Make this into powder with a dry grinder or in a stone pestle.,దీనిని తిరగలిలో గాని లేదా రోట్లో గాని పొడిగా చేయండి.,"ఈన్నిదానిని వాడి వాడితో చిన్న చిన్న పడుకులుగా తీసుకోండి.
అన్నిదానిని ద్ర�"
English,Telugu,"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","పంజాబులో ప్రతీ నగరం విభిన్నమైన అభిరుచులు కలిగి ఉంటుంది, ఎలాగంటే అమృత్‌సర్‌లోని ప్రజలకు అమృత్‌సరి కుల్చాలు, స్టఫ్డ్ పరాఠాలు, పాల ఉత్పత్తులంటే ఇష్టం.","పంజాబ్ నుండి ప్రతి నగరంలో వైవిధ్యమైన పండుగలు ఉన్నాయి, అమృత్సర్ వాసులు అమృ�"
English,Telugu,"Send Rama with the sage, and send Lakshmana too.","రాముడిని మునితో పంపించండి, అలాగే లక్ష్మణుడిని కూడా పంపించండి.",సింహాసనం పై ఉన్న రాజు తన రాజ్యం యొక్క చివరి నుండి ఉత్తర దిశగా వెళ్లి తన రాజ్య
English,Telugu,But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,"అయితే మంగళ్ పాండే యొక్క సాహస కృత్యం, ఉన్నతమైన, ఉదాత్తమైన సిద్ధాంతం పట్ల భక్తితో చేయబడినది.",బుట్ మంగల్ పాండే తన గొప్ప కార్యం చేసినప్పుడు శ్రద్ధాశీలతతో ఎందుకు విశ్వసి
English,Telugu,"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","ఉల్లిపాయలు మగ్గాక, నానబెట్టిన మటన్ తో బాటు పసుపు వేసి కాసేపు మసాలాలన్నీ మటన్ పీల్చుకునేదాకా ఒక 5-6 నిమిషాలబాటు వేయించుకోవాలి.","కుందాలుగా ఉండగా, తుర్మెరిక్ పావురాలతో మారిన మేకలను చేర్చి కొంతకాలం వేయండ�"
