Source Language,Target Language,Input Text,Reference,Generated
English,Hindi,"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","सेवा संबंधी लोगों के लिए भेष कई गुणों का संयोजन है, जैसे कि उनके जूते, कपड़े, टाई, आभूषण, केश शैली, मेक-अप, घड़ी, कॉस्मेटिक, इत्र, आदि।","एक उपस्थिति एक सेवा व्यक्ति की विशेषताओं के समूह है, जैसे कि उनके जूते, कपड़े, टाई, जेवेलरी, हेयरस्टाइल, मेकअप, घड़ी, कॉस्मेटिक्स, इत्र, आदि।"
English,Hindi,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उन्तीस चैत्य और विहार गुफाएँ हैं जो पहली शताब्दी ई.पू. से ले कर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों तथा चित्रकारियों से सुसज्जित हैं।,"अजंता महाराष्ट्र के आठरंगाबाद जिले में स्थित है, जिसमें बीसीई. के प्रथम शताब्दी से लेकर सीई. के पांचवीं शताब्दी तक की मूर्तियों और चित्रों से सजी बीस नौ चैत्य और विहार गुफाएं हैं।"
English,Hindi,"Body colour gets merged with the outer line, creating the effect of volume.","विस्तार का असर बनाते हुए, शरीर का रंग बाहरी रेखा में घुल-मिल जाता है।","बॉडी रंग को बाहरी रेखा के साथ संयुक्त किया जाता है, जिससे आयतन का प्रभाव पड़ता है।"
English,Hindi,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","अशोक ने व्यापक रूप से मूर्तियों और शानदार स्मारकों को बनाने के लिए पत्थर का प्रयोग करना शुरू किया, जबकि उससे पहले पारंपरिक रूप से लकड़ी और मिट्टी का प्रयोग किया जाता है।","अशोक ने पत्थर के लिए विशाल मूर्तियों और महान मंदिरों के निर्माण के लिए विस्तृत उपयोग शुरू कर दिया, जबकि पूर्व परंपरा लकड़ी और मिट्टी के साथ काम करने पर आधारित थी।"
English,Hindi,"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","महाराष्ट्र के इस स्वादिष्ट और प्रसिद्ध व्यंजन में आलुओं में मसाले को मिलाकर, बेसन के घोल की परत लगाकर, उसे अच्छी तरह से तल कर बनाया जाता है।","प्याज़ मिश्रित मसाले, बेसन बैटर में लेपित और परफेक्शन के लिए गहराई से तला हुआ यह महाराष्ट्र का एक स्वादिष्ट और प्रसिद्ध व्यंजन है।"
English,Hindi,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.",चेट्टिनाड भोजन तमिल नाडु के चेट्टिनाड क्षेत्र के नाट्टूकोटाई चेट्टियार नामक समुदाय या खुद को नागारथार कहने वालों का भोजन है।,"चेट्टीनाड की खाना पकाना चेट्टीनाड क्षेत्र के एक समुदाय की खाना पकाना है जिसे नटुकोटई चेट्टियार, या नागरातर के रूप में जाना जाता है, जो तमिलनाडु राज्य के चेट्टीनाड क्षेत्र से हैं।
References.
<templatestyles src=""Reflist/styles.css"" />"
English,Hindi,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.",दालचीनी मूल रूप से भारत की है और इस रूप में इसका प्रयोग स्वादिष्टकारक से लेकर औषधीय कारक के रूप में किया जाता है।,"सदाबहार सौंफ़
सदाबहार सौंफ़ () एक प्राचीन प्रकार की सौंफ़ है जिसे सौंफ़ के पेड़ (सिस्टस लांग) के बीज से प्राप्त किया जाता है। यह भारत में मूल है और, इस तरह, इसका उपयोग स्वाद के रूप में से लेकर औषधीय एजेंट तक होता है।"
English,Hindi,Make this into powder with a dry grinder or in a stone pestle.,सूखे ग्राइंडर में या फिर पत्थर के मूसल में इसका चूर्ण बना लें।,मिलाएँ और सूखे ग्राइंडर या एक पत्थर के पिस्टल में मिलाएँ।
English,Hindi,"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","पंजाब के हर शहर की अपनी पसंद है, जैसे कि अमृतसर के लोग विशेष रूप से अमृतसरी कुलचे, भरवां पराठें और दूध के उत्पाद पसंद करते हैं।","हर शहर में पंजाब में विभिन्न प्राथमिकताएँ हैं, जैसे कि अमृतसर के लोग अमृतसरी कुल्चे के लिए विशेष रूप से प्रेम करते हैं, भरे हुए परांठे और दूध उत्पादों के लिए।"
English,Hindi,"Send Rama with the sage, and send Lakshmana too.","राम को ऋषि के साथ भेज दो, और लक्ष्मण को भी भेज दो।",सेंड रामा के साथ विद्वान और लक्ष्मण भी सेंड करें।
English,Hindi,But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,परंतु मंगल पांडे ने यह साहसिक कारनामा एक ऊँचे और श्रेष्ठ सिद्धांत के प्रति समर्पण के लिए किया।,मंगल पांडे की बहादुरी की कार्रवाई सादगीपूर्ण सिद्धांत की श्रद्धा से की गई थी।
English,Hindi,"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.",प्याज जब पारभासी हो जाए तो उसमें मसालों के मिश्रण में कुछ समय से रखे गए मांस और पिसी हल्दी डाल कर 5-6 मिनट तक हल्का-सा तलते रहें जब तक कि मांस सभी मसालों को सोख न ले।,"एक बार लहसुन पारदर्शी हो जाए, तो नमकीन मटन के साथ हल्दी पाउडर और थोड़ी देर के लिए सीज़न करने के लिए जोड़ें। 5-6 मिनट के लिए सभी मसाले मटन में अवशोषित होने तक।"
