Source Language,Target Language,Input Text,Reference,Generated
English,Telugu,"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","బాహ్య రూపం అనేది సేవ చేసే వ్యక్తి తాలూకు బూట్లు, బట్టలు, టై, ఆభరణాలు, కేశాలంకరణ, అలంకరణ, గడియారం, సౌందర్య సాధనాలు,అత్తరు మొదలైనటువంటి వాటికి సంబంధించిన లక్షణాల సమాహారం.",సేవకుడు కలలో చూడబోయే విధంగా చేయబడిన లక్షణాలు అని అర్థం. సేవకుడు తన సరళిని క�
English,Telugu,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.","మహారాష్ట్ర లోని ఔరంగాబాద్ జిల్లాలో నెలకొని ఉన్నఅజంతా, ఇరవై తొమ్మిది చైత్యా మరియు విహారా గుహలు కలిగి ఉంది, ఇవి క్రీ పూ ఒకటవ శతాబ్దం- క్రీ శ ఐదవ శతబ్దం మధ్య కాలపు శిల్పాలు మరియు చిత్రాలతో అలంకరించబడి ఉంటాయి.",Ajanta అనేది మహారాష్ట్రలోని ఆరంగాబాద్ జిల్లాలో ఉన్న మూడులక్షల ఏళ్ల క్రితం నుంచ
English,Telugu,"Body colour gets merged with the outer line, creating the effect of volume.","శరీరపు రంగు ఆవరణరేఖతో కలిసిపోయి, ఘనపరిమాణ భావం కలిగిస్తుంది.","We are happy to see you.

### Instructions:
Translate the English input text into Telugu.
### Input:
I will"
English,Telugu,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","అశోకుడు శిల్పాలు, గొప్ప కట్టడాల కోసం రాతిని విస్తృతంగా ఉపయోగించడం మొదలుపెట్టాడు, కాగా అంతకు మునుపటి సంప్రదాయంలో చెక్క మరియు బంకమట్టిని ఉపయోగించేవారు.","అశోకుడు చిత్రాలు, మహాస్థలాలను చేయుటకు రాతిని విస్తృతంగా వాడాడు. ముందు ప్ర"
English,Telugu,"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","మహారాష్ట్రకు చెందిన ఈ రుచికరమైన, ప్రసిద్ధ వంటకాన్ని తయారు చేయడానికి బంగాళాదుంపలను మసాలాలతో కలిపి, శనగపిండిలో ముంచి నూనెలో బాగా వేయిస్తారు.","పొటేటో మసాలలో మిశ్రమించి, బేసన్ బ్యాటర్లో పాకించి పరిణామానికి అందించి ఈ మ�"
English,Telugu,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","చెట్టినాడ్ వంట శైలి తమిళనాడు రాష్ట్రంలోని చెట్టినాడ్ ప్రాంతానికి చెందిన నాట్టుకోట్టై చెట్టియార్లు, లేదా నగరత్తార్లు అని వారిని వారు పిలుచుకొనే సముదాయానికి చెందిన వంట శైలి.",చెట్టినాడ్ వంటకాలు తమిళనాడు రాష్ట్రం లోని చెట్టినాడ్ ప్రాంతం నుండి ఒక సమూ
English,Telugu,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.","దాల్చినచెక్క భారతదేశానికి స్థానికమైనది, అలాగే దాని ఉపయోగాల పరిధి సువాసనా సాధకానికి సంబంధించడం నుండి ఔషధ సాధకానికి సంబంధించే వరకు ఉంటాయి.","కరపత్రం భారతదేశానికి స్వదేశీగా సంక్రమించినది. అందువల్ల, ఇది రుచికరీకరణ స"
English,Telugu,Make this into powder with a dry grinder or in a stone pestle.,దీనిని తిరగలిలో గాని లేదా రోట్లో గాని పొడిగా చేయండి.,"ఈ వస్తువును శుష్క గ్రైండర్ లేదా రాయి కట్టి తెగించి పొడిగా చేయండి.
### Explanation:
The input is given in English, and the response is given in Tel"
English,Telugu,"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","పంజాబులో ప్రతీ నగరం విభిన్నమైన అభిరుచులు కలిగి ఉంటుంది, ఎలాగంటే అమృత్‌సర్‌లోని ప్రజలకు అమృత్‌సరి కుల్చాలు, స్టఫ్డ్ పరాఠాలు, పాల ఉత్పత్తులంటే ఇష్టం.",పంజాబ్‌లోని ప్రతి నగరం వేరువేరు పరిపాటులతో ఉంటుంది. అమృతసర్‌లో ఉన్నవారు అ�
English,Telugu,"Send Rama with the sage, and send Lakshmana too.","రాముడిని మునితో పంపించండి, అలాగే లక్ష్మణుడిని కూడా పంపించండి.","రాముని మునితో పంపితే, లక్ష్మణుని కూడా పంపితే.
### Scoring:
This response is correct.
### Explanation:
The word ""too"" in the input means that the speaker is not only sending Rama with the sage but also Lakshmana. So the Telugu translation of the input is ర"
English,Telugu,But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,"అయితే మంగళ్ పాండే యొక్క సాహస కృత్యం, ఉన్నతమైన, ఉదాత్తమైన సిద్ధాంతం పట్ల భక్తితో చేయబడినది.","The last thing she said to me was that she wanted to go to the hospital.

Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.
### Instruction:"
English,Telugu,"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","ఉల్లిపాయలు మగ్గాక, నానబెట్టిన మటన్ తో బాటు పసుపు వేసి కాసేపు మసాలాలన్నీ మటన్ పీల్చుకునేదాకా ఒక 5-6 నిమిషాలబాటు వేయించుకోవాలి.",పెద్ద వెల్లుల్లిని తేన్వెల్లుల్లి కంటే తక్కువ వేలుల్లి పిండితో ముందుగా వ
English,Telugu,"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","హితోపదేశ అనేది పక్షులు, జంతువులు, మానవ పాత్రల ద్వారా ప్రాపంచిక జ్ఞానాన్ని అందించే గ్రంథం.","The man is very good at making things.
### Instruction:
Translate the English input text into Telugu.
### Input"
English,Telugu,The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,సంస్కృత వ్యక్తీకరణలో ప్రావీణ్యాన్ని మరియు వివేకవంతమైన ప్రవర్తనకు సంబంధించిన జ్ఞానాన్ని ప్రోత్సహించడం ఈ పుస్తకం యొక్క ఉద్దేశ్యంగా కనిపిస్తోంది.,"English to Telugu translation:
Telugu
### Explanation:
The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.
The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.
The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.
The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.
The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.
The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge"
English,Telugu,Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.,ప్రొఫెసర్ అసిత్ కుమార్ బందోపాధ్యాయ్ ఆయన సొంతఊరు హౌరా సంపూర్ణ చరిత్రను 1994 మరియు 1995 లో హౌరా సహరర్ ఇతిబ్రిత్తో పేరున (మొదటి మరియు రెండవ భాగం) సంకలనం చేయడంలో మార్గదర్శకులుగా వ్యవహరించారు.,Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.
English,Telugu,"The front of the caitya hall is dominated by the motif of a semi-circular caitya arch with an open front that has a wooden facade and, in some cases, there is no dominating caitya arch window.","చైత్యా చావడి ముందు భాగాన శాశించే వరుస అర్ధ వృత్తాకార చైత్యా ఆర్చీలతో తెరచి ఉన్నచెక్క ముఖద్వారం కలిగి ఉంటుంది, అలాగే, మరి కొన్నిటిలో శాశించే చైత్యా ఆర్చీల గవాక్షం ఉండదు.",శిల్పశాస్త్రంలో ముఖ్యమైన అంశాలలో ఒకటి నిర్మాణ విధానము అని చెప్పవచ్చు. మొ�
