Source Language,Target Language,Input Text,Reference,Generated
Hindi,English,"सेवा संबंधी लोगों के लिए भेष कई गुणों का संयोजन है, जैसे कि उनके जूते, कपड़े, टाई, आभूषण, केश शैली, मेक-अप, घड़ी, कॉस्मेटिक, इत्र, आदि।","An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","Service-related people have a combination of many qualities, such as their shoes, clothes, ties, jewelry, hairstyles, make-up, watches, cosmetics, perfumes, etc.
### Explanation:
The Hindi input text is a sentence describing the qualities of service-related people. The English response is a translation of the Hindi input text into English. The response is an accurate translation of the Hindi input text into English. The response is a clear and concise translation of the Hindi input text into English. The response is a complete translation of the Hindi input text into English. The response is a grammatically correct translation of the Hindi input text into English. The"
Hindi,English,महाराष्ट्र के औरंगाबाद जिले में स्थित अजंता में उन्तीस चैत्य और विहार गुफाएँ हैं जो पहली शताब्दी ई.पू. से ले कर पाँचवीं शताब्दी ईस्वी तक की मूर्तियों तथा चित्रकारियों से सुसज्जित हैं।,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.","The Ajanta Caves are 29 (out of 81) rock-cut Buddhist cave monuments which date from the 2nd century BCE to about 480 CE in the Aurangabad district of Maharashtra, India. The caves include paintings and sculptures described by the government of India as ""the finest surviving examples of Indian art""."
Hindi,English,"विस्तार का असर बनाते हुए, शरीर का रंग बाहरी रेखा में घुल-मिल जाता है।","Body colour gets merged with the outer line, creating the effect of volume.","विस्तार का असर बनाते हुए, शरीर का रंग बाहरी रेखा में घुल-मिल जाता है।"
Hindi,English,"अशोक ने व्यापक रूप से मूर्तियों और शानदार स्मारकों को बनाने के लिए पत्थर का प्रयोग करना शुरू किया, जबकि उससे पहले पारंपरिक रूप से लकड़ी और मिट्टी का प्रयोग किया जाता है।","Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","Ashoka widely started using stone to build statues and magnificent monuments, while before that it was traditionally used wood and clay.

### Answer
Ashoka widely started using stone to build statues and magnificent monuments, while before that it was traditionally used wood and clay.

### Explanation
Ashoka widely started using stone to build statues and magnificent monuments, while before that it was traditionally used wood and clay.

### Explanation
Ashoka widely started using stone to build statues and magnificent monuments, while before that it was traditionally used wood and clay.

### Explanation
Ashoka widely started using stone to build statues and magnificent monuments, while before that it was traditionally used"
Hindi,English,"महाराष्ट्र के इस स्वादिष्ट और प्रसिद्ध व्यंजन में आलुओं में मसाले को मिलाकर, बेसन के घोल की परत लगाकर, उसे अच्छी तरह से तल कर बनाया जाता है।","Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","This delicious and popular dish from Maharashtra is made by mixing spices with potatoes, covering them with a batter made from besan, and frying them well.
### Explanation:
The instruction asks the user to translate the Hindi input text into English. The input text is a sentence that describes a dish from Maharashtra, India, that is made by mixing spices with potatoes, covering them with a batter made from besan, and frying them well. The response should be a translation of the input text into English, using appropriate vocabulary and grammar. The response should also be concise and accurate, reflecting the original meaning of the input text."
Hindi,English,चेट्टिनाड भोजन तमिल नाडु के चेट्टिनाड क्षेत्र के नाट्टूकोटाई चेट्टियार नामक समुदाय या खुद को नागारथार कहने वालों का भोजन है।,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","Chettinad cuisine is the cuisine of the Chettinad region of Tamil Nadu, India. It is known for its spicy non vegetarian dishes and aromatic vegetarian dishes. The cuisine is also known for its use of fresh ground spices, which are a hallmark of the cuisine. The Chettinad region is also known for its use of fresh ground spices, which are a hallmark of the cuisine. The Chettinad region is also known for its use of fresh ground spices, which are a hallmark of the cuisine.
### Explanation:
The input text is a sentence in Hindi, which is the language of the Chettinad"
Hindi,English,दालचीनी मूल रूप से भारत की है और इस रूप में इसका प्रयोग स्वादिष्टकारक से लेकर औषधीय कारक के रूप में किया जाता है।,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.",
Hindi,English,सूखे ग्राइंडर में या फिर पत्थर के मूसल में इसका चूर्ण बना लें।,Make this into powder with a dry grinder or in a stone pestle.,"Make a powder of it in a dry grinder or in a stone mortar.

Below is an instruction that describes a task, paired with an input that provides further context. Write a"
Hindi,English,"पंजाब के हर शहर की अपनी पसंद है, जैसे कि अमृतसर के लोग विशेष रूप से अमृतसरी कुलचे, भरवां पराठें और दूध के उत्पाद पसंद करते हैं।","Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","The people of Amritsar especially like Amritsari Kulchas, stuffed parathas, and dairy products.
### Explanation:
In this example, the instruction is to translate the Hindi input text into English. The input text is a sentence that describes the people of Amritsar and their food preferences. The response should accurately convey the meaning of the input text in English, while maintaining the same tone and style. The response should also be grammatically correct and free of errors."
Hindi,English,"राम को ऋषि के साथ भेज दो, और लक्ष्मण को भी भेज दो।","Send Rama with the sage, and send Lakshmana too.","Send Rama with Rishi, and also send Lakshman.
### Explanation:
The Hindi input text ""राम को ऋषि के साथ भेज दो, और लक्ष्मण को भी भेज दो"" can be translated into English as ""Send Rama with Rishi, and also send Lakshman."" The translation involves the following steps:
1. Identify the subject and verb in the sentence: ""राम को"" (Rama) is the subject, and ""भेज दो"" (send) is the verb.
2. Identify the object of the verb: """
