Source Language,Target Language,Input Text,Reference,Generated
English,Bengali,"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","বাহ্য রূপ হল সেই পরিষেবা প্রদানকারী মানুষ সম্বন্ধীয় এক গুচ্ছ বৈশিষ্ট্য যেমন, তার জুতো, জামাকাপড়, টাই, গয়না, চুলের ধরন, রূপসজ্জা, ঘড়ি, প্রসাধনী, সুগন্ধি, ইত্যাদি।","An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc."
English,Bengali,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",মহারাষ্ট্রের ঔরঙ্গাবাদ জেলায় অবস্থিত অজন্তায় খ্রিষ্টপূর্ব প্রথম শতাব্দী থেকে খ্রিষ্টীয় পঞ্চম শতাব্দীর ভাস্কর্য এবং চিত্রকলায় সজ্জিত ঊনত্রিশটি চৈত্য এবং বিহার গুহা রয়েছে।,Ajanta অজন্তা মহারাষ্ট্রের অঞ্চলে একটি বসতি সমূহ রয়েছে যেখানে প্রথম শতাব্দী খ্রিস্টপূর্ব থেকে পঞ্চম শতাব্দ
English,Bengali,"Body colour gets merged with the outer line, creating the effect of volume.",গায়ের রঙের সঙ্গে দেহরেখা মিশে গিয়ে ঘনত্বের আভাস তৈরি করে।,"বড়ি রঙ বাহির লাইনের সাথে মিশে যায়, একটি প্রকৃতির প্রতিফলন তৈরি করে।

    - ## বাংলা অনলাইন সার্ভিস প্রতিদিন বাংলাদে�"
English,Bengali,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","যেখানে পূর্ববর্তী ঐতিহ্য ছিল কাঠ ও মাটি দিয়ে নির্মাণ করা, অশোক সেখানে ভাস্কর্য এবং মহান স্মৃতিস্তম্ভ নির্মাণের কাজে ব্যাপকভাবে পাথরের ব্যবহার শুরু করেন।","অশোক প্রথমে পাথরের মূর্তি ও বড় বড় স্মারক তৈরির জন্য ব্যাপক ব্যবহার করতে শুরু করেছিলেন, আর পূর্বের ঐতিহ্য"
English,Bengali,"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","আলুতে মশলা মাখিয়ে, ফেটানো বেসনে চুবিয়ে নিয়ে ডুবো তেলে ভাজা যতক্ষণ না ভালো করে ভাজা হচ্ছে, তৈরি করা হয় মহারাষ্ট্রের এই সুস্বাদু ও জনপ্রিয় খাবারের পদ।","পটেটা মসালার সাথে মিশিয়ে বেসন ব্যাটার দিয়ে কলা করে এটি মহারাষ্ট্রের প্রসিদ্ধ এবং সুস্বাদু খাবার।
### Explanation:
Potatoes mixed in masalas, coated in bes"
English,Bengali,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","চেট্টিনাড় রন্ধনপ্রণালী হলো তামিলনাড়ু রাজ্যের চেট্টিনাড় অঞ্চলের নাট্টুকোটাই চেট্টিয়ার, অথবা তাদের নিজেদের দেওয়া নাম অনুযায়ী নগরত্তার নামক একটি সম্প্রদায়ের এক রন্ধনপ্রণালী।","চেট্টিনাদ রান্না তামিলনাড়ু রাজ্যের চেট্টিনাদ অঞ্চলের একটি সম্প্রদায়ের রান্না, যাদের নাটটুকোটাই চেট্টিয়ারদ"
English,Bengali,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.",দারুচিনি ভারতে মূলভাবে উৎপাদিত এবং এর ব্যবহার গন্ধবিশিষ্ট দ্রব্য থেকে আরম্ভ করে ঔষধি দ্রব্য হিসেবে হয়।,"কার্নিল ভারতের স্বকীয় প্রজাতি এবং তাই এর ব্যবহার ফ্লেভারিং এজেন্ট থেকে চিকিৎসা এজেন্ট পর্যন্ত বিস্তৃত।
### Explanation:
কার্�"
English,Bengali,Make this into powder with a dry grinder or in a stone pestle.,এই সবগুলোকে একটা শুকনো জাঁতাকল বা শিলনোড়ায় গুঁড়ো করুন।,"এটিকে শুকনা গ্রাইন্ডার বা পাথরের মোড়চাসা দিয়ে বা পাথরের মোড়চাসায় পাউডারে পরিবর্তন করুন।
এটি বাংলায় অনু�"
English,Bengali,"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","পঞ্জাবের একেকটি শহরের পছন্দ একেক রকমের, যেমন অমৃতসরের লোকেরা অমৃতসরী কুলচা, পুরভরা পরোটা এবং দুগ্ধজাত পণ্য বেশি পছন্দ করে।","পাঞ্জাবের প্রতিটি শহরে পছন্দ বিভিন্ন, যেমন অমৃতসরের লোকেরা অমৃতসরী কুলচা, স্টাফড পারান্থা এবং দুধ পণ্যে"
English,Bengali,"Send Rama with the sage, and send Lakshmana too.",রামকে এই ঋষির সঙ্গে পাঠান এবং লক্ষ্মণকেও পাঠান।,"রামকে বাগ্য সঙ্গে পাঠাও এবং লক্ষ্মণকেও পাঠাও।
### Explanation:
বাগ্য শব্দের অর্থ সংগী, সহচর। আমরা বাগ্য শব্দটি ব্যবহার করে �"
English,Bengali,But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,"কিন্তু মঙ্গল পাণ্ডের বীরত্বসূচক কাজ, উচ্চ ও মহৎ নীতির প্রতি নিষ্ঠার মাধ্যমে সম্পাদিত হয়েছিল।",কিন্তু মঙ্গল পান্ডের বিনম্র কাজ করা ছিল এক উচ্চ ও নীতিবান প্রতিপাদ্যের প্রতি উৎসর্গ করা সম্পূর্ণ আত্মবিশ্বাসের �
English,Bengali,"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","পেঁয়াজগুলি স্বচ্ছ্ব হয়ে এলে, মাখিয়ে রাখা পাঁঠার মাংস হলুদ গুঁড়োর সঙ্গে দিয়ে দিন এবং সমস্ত মশলা মাংসে না ঢোকা পর্যন্ত ৫-৬ মিনিট মতো কিছু সময় ধরে কষতে থাকুন।",এক্ষেত্রে আমার মতে প্রথমে তুলসি গুঁড়া দিয়ে মাংস পাকান করতে হবে। তারপর পেঁয়াজ রাখতে হবে কিছুক্ষেত্�
English,Bengali,"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","হিতোপদেশ হল পাখি, পশু ও মানুষের চরিত্রের মাধ্যমে বোঝানো পার্থিব জ্ঞানের একটি বই।","হিতোপদেশ একটি বই যেটা বিশ্বকাজের জ্ঞান প্রদান করে পাখি, প্রাণী এবং মানুষের চরিত্রের মাধ্যমে উপস্থাপন করা হয়ে"
English,Bengali,The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,এই বইটির উদ্দেশ্য দাঁড়ালো গিয়ে সংস্কৃতে মতপ্রকাশের দক্ষতাকে এবং জ্ঞানগর্ভ আচার-আচরণের শিক্ষাকে উৎসাহিত করা।,"এই বইটি সংস্কৃত ব্যবহার এবং বিজ্ঞ আচরণ জানার প্রয়োজনে ব্যবহার করা হয় বলে মনে হয়।
### Explanation:
The word ""appears"" means ""মনে হয�"
English,Bengali,Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.,হাওড়া শহরের ইতিবৃত্ত (প্রথম ও দ্বিতীয় খণ্ড) শীর্ষক ১৯৯৪ ও ১৯৯৯৫-তে প্রকাশিত তাঁর জন্মশহর হাওড়ার সম্পূর্ণ ইতিহাস সংকলনে এক অগ্রণী ভূমিকা পালন করেন অধ্যাপক অসিতকুমার বন্দ্যোপাধ্যায়।,অসিতকুমার বন্দ্যোপাধ্যায় প্রথম ও দ্বিতীয় খণ্ডে নিজ বাসভূমি হাওড়ার ইতিহাস সম্পাদনা করেন ১৯৯৪ ও ১৯৯৫ সা�
English,Bengali,"The front of the caitya hall is dominated by the motif of a semi-circular caitya arch with an open front that has a wooden facade and, in some cases, there is no dominating caitya arch window.","চৈত্যের দালানের সামনের অংশের বাইরের দিকটির বেশীরভাগ অংশ কাষ্ঠনির্মিত উন্মুক্ত সম্মুখভাগ সহ একটি অর্ধ-বৃত্তাকার চৈত্য খিলানের চিত্রকল্প দ্বারা অলংকৃত, এবং, কিছু কিছু ক্ষেত্রে, সেখানে দৃষ্টিগোচর কোনও চৈত্য খিলানের জানালা থাকে না।",স্তূপের মুখভাগে সেমি-বৃত্তাকার স্তূপের আর্চ একটি বিশেষ অবস্থান অবস্থিত হয়। সেই স্তূপের আর্চ খোলা আছে
