Source Language,Target Language,Input Text,Reference,Generated
Bengali,English,"বাহ্য রূপ হল সেই পরিষেবা প্রদানকারী মানুষ সম্বন্ধীয় এক গুচ্ছ বৈশিষ্ট্য যেমন, তার জুতো, জামাকাপড়, টাই, গয়না, চুলের ধরন, রূপসজ্জা, ঘড়ি, প্রসাধনী, সুগন্ধি, ইত্যাদি।","An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","External appearance is a collection of features associated with a service provider, such as their shoes, clothing, tie, blouse, hair style, make-up, watch, perfume, etc."
Bengali,English,মহারাষ্ট্রের ঔরঙ্গাবাদ জেলায় অবস্থিত অজন্তায় খ্রিষ্টপূর্ব প্রথম শতাব্দী থেকে খ্রিষ্টীয় পঞ্চম শতাব্দীর ভাস্কর্য এবং চিত্রকলায় সজ্জিত ঊনত্রিশটি চৈত্য এবং বিহার গুহা রয়েছে।,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.","Twenty-five caves and temples in Ajanta, Maharashtra, located in Aurangabad district, have been decorated with sculptures and paintings in the style of Buddhist art from the first century BC to the fifth century AD."
Bengali,English,গায়ের রঙের সঙ্গে দেহরেখা মিশে গিয়ে ঘনত্বের আভাস তৈরি করে।,"Body colour gets merged with the outer line, creating the effect of volume.",The color of the fabric blends with the body line to create a sense of density.
Bengali,English,"যেখানে পূর্ববর্তী ঐতিহ্য ছিল কাঠ ও মাটি দিয়ে নির্মাণ করা, অশোক সেখানে ভাস্কর্য এবং মহান স্মৃতিস্তম্ভ নির্মাণের কাজে ব্যাপকভাবে পাথরের ব্যবহার শুরু করেন।","Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","Where the previous tradition was of building in wood and earth, Ashoka there began to use stone extensively in the making of sculptures and great monuments."
Bengali,English,"আলুতে মশলা মাখিয়ে, ফেটানো বেসনে চুবিয়ে নিয়ে ডুবো তেলে ভাজা যতক্ষণ না ভালো করে ভাজা হচ্ছে, তৈরি করা হয় মহারাষ্ট্রের এই সুস্বাদু ও জনপ্রিয় খাবারের পদ।","Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","Aloo Masala is a popular and delicious dish from the state of Maharashtra in India. It is made by frying potatoes in oil, then sautéing them in a base of fried onions."
Bengali,English,"চেট্টিনাড় রন্ধনপ্রণালী হলো তামিলনাড়ু রাজ্যের চেট্টিনাড় অঞ্চলের নাট্টুকোটাই চেট্টিয়ার, অথবা তাদের নিজেদের দেওয়া নাম অনুযায়ী নগরত্তার নামক একটি সম্প্রদায়ের এক রন্ধনপ্রণালী।","Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","Chettinad cuisine is a cuisine of Tamil Nadu state in India, or the name they gave themselves as Nagarathar, referring to a community of the same name in the Chettinad region of Tamil Nadu."
Bengali,English,দারুচিনি ভারতে মূলভাবে উৎপাদিত এবং এর ব্যবহার গন্ধবিশিষ্ট দ্রব্য থেকে আরম্ভ করে ঔষধি দ্রব্য হিসেবে হয়।,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.",Daruchini is mainly produced in India and its use ranges from aromatic substances to medicinal substances.
Bengali,English,এই সবগুলোকে একটা শুকনো জাঁতাকল বা শিলনোড়ায় গুঁড়ো করুন।,Make this into powder with a dry grinder or in a stone pestle.,All of these in a dry shaker or blender.
Bengali,English,"পঞ্জাবের একেকটি শহরের পছন্দ একেক রকমের, যেমন অমৃতসরের লোকেরা অমৃতসরী কুলচা, পুরভরা পরোটা এবং দুগ্ধজাত পণ্য বেশি পছন্দ করে।","Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","Punjab has its own favourite cities, just like the people of Amritsar love Amritsari Kulcha, Purvaras Puri and dairy products."
Bengali,English,রামকে এই ঋষির সঙ্গে পাঠান এবং লক্ষ্মণকেও পাঠান।,"Send Rama with the sage, and send Lakshmana too.",Ram should be sent to this rishi and Lakshman should be sent too.
Bengali,English,"কিন্তু মঙ্গল পাণ্ডের বীরত্বসূচক কাজ, উচ্চ ও মহৎ নীতির প্রতি নিষ্ঠার মাধ্যমে সম্পাদিত হয়েছিল।",But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,"But the valorous deeds of Mangal Pandey, and the high and noble principles to which he was faithful, were not to be overlooked."
Bengali,English,"পেঁয়াজগুলি স্বচ্ছ্ব হয়ে এলে, মাখিয়ে রাখা পাঁঠার মাংস হলুদ গুঁড়োর সঙ্গে দিয়ে দিন এবং সমস্ত মশলা মাংসে না ঢোকা পর্যন্ত ৫-৬ মিনিট মতো কিছু সময় ধরে কষতে থাকুন।","Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","Peel the onions and fry the minced beef with turmeric powder and keep frying until all the spices are added.
    - ### Instruction:
Translate the English input text into Bengali.
    - ### Input:
Peel the onions and fry the minced beef with turmeric powder and keep frying until all the spices are added.

### Instruction:
Translate the Bengali input text into English.
### Input:
কেবল একটি টেবিল স্পেশিয়াল হিসাবে ব্যব"
Bengali,English,"হিতোপদেশ হল পাখি, পশু ও মানুষের চরিত্রের মাধ্যমে বোঝানো পার্থিব জ্ঞানের একটি বই।","Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","The Hitopadesha is a book that conveys worldly wisdom through the characters of birds, animals and humans."
Bengali,English,এই বইটির উদ্দেশ্য দাঁড়ালো গিয়ে সংস্কৃতে মতপ্রকাশের দক্ষতাকে এবং জ্ঞানগর্ভ আচার-আচরণের শিক্ষাকে উৎসাহিত করা।,The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,The purpose of this book is to stand up and speak out in Sanskrit to encourage and promote proficiency in expression and knowledge-based etiquette.
Bengali,English,হাওড়া শহরের ইতিবৃত্ত (প্রথম ও দ্বিতীয় খণ্ড) শীর্ষক ১৯৯৪ ও ১৯৯৯৫-তে প্রকাশিত তাঁর জন্মশহর হাওড়ার সম্পূর্ণ ইতিহাস সংকলনে এক অগ্রণী ভূমিকা পালন করেন অধ্যাপক অসিতকুমার বন্দ্যোপাধ্যায়।,Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.,"Hawra City History (Volume I and II) is an encyclopaedic compilation of the complete history of his birthplace, Hawra, which he played a pioneering role in publishing in 1994 and 1995. Professor Asit Kumar Bandopadhyay"
Bengali,English,"চৈত্যের দালানের সামনের অংশের বাইরের দিকটির বেশীরভাগ অংশ কাষ্ঠনির্মিত উন্মুক্ত সম্মুখভাগ সহ একটি অর্ধ-বৃত্তাকার চৈত্য খিলানের চিত্রকল্প দ্বারা অলংকৃত, এবং, কিছু কিছু ক্ষেত্রে, সেখানে দৃষ্টিগোচর কোনও চৈত্য খিলানের জানালা থাকে না।","The front of the caitya hall is dominated by the motif of a semi-circular caitya arch with an open front that has a wooden facade and, in some cases, there is no dominating caitya arch window.","The front portion of the portico of the Chaitya hall is decorated with an arched chaitya window in the form of a semi-circular chaitya window, and in some cases, there is no visible chaitya window in sight."
