Source Language,Target Language,Input Text,Reference,Generated
Telugu,English,"బాహ్య రూపం అనేది సేవ చేసే వ్యక్తి తాలూకు బూట్లు, బట్టలు, టై, ఆభరణాలు, కేశాలంకరణ, అలంకరణ, గడియారం, సౌందర్య సాధనాలు,అత్తరు మొదలైనటువంటి వాటికి సంబంధించిన లక్షణాల సమాహారం.","An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","External appearance is a collection of features that relate to a person's service.
### Explanation:
    - Instruction: Translate the Telugu input text into English.
    - Input: బాహ్య రూపం అనేది సేవ చేసే వ్యక్తి తాలూకు బూట్లు, బట్టలు"
Telugu,English,"మహారాష్ట్ర లోని ఔరంగాబాద్ జిల్లాలో నెలకొని ఉన్నఅజంతా, ఇరవై తొమ్మిది చైత్యా మరియు విహారా గుహలు కలిగి ఉంది, ఇవి క్రీ పూ ఒకటవ శతాబ్దం- క్రీ శ ఐదవ శతబ్దం మధ్య కాలపు శిల్పాలు మరియు చిత్రాలతో అలంకరించబడి ఉంటాయి.","Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.","Ajanta Caves, Aurangabad District, Maharashtra
The Ajanta Caves are 30 rock-cut Buddhist cave monuments which date from the 2nd century BCE to about 480 CE in Aurangabad district of Maharashtra state of India. The caves include paintings and sculptures described by the government of India as ""the finest surviving examples of Indian art"", which continues to influence later Indian artists. The Ajanta caves were designated a UNESCO World Heritage Site in 1983.
History
The Ajanta Caves are in the Caves are in the Ajanta Caves are in the Ajanta Caves are in the Ajanta C"
Telugu,English,"శరీరపు రంగు ఆవరణరేఖతో కలిసిపోయి, ఘనపరిమాణ భావం కలిగిస్తుంది.","Body colour gets merged with the outer line, creating the effect of volume.","Body color with contouring line, creating a voluminous appearance.

Below is an input that provides further context that can help write a better response.
    - శరీరపు రంగు ఆవరణరేఖతో కలిసిపోయి, ఘనపరిమాణ భావం కలిగిస్త"
Telugu,English,"అశోకుడు శిల్పాలు, గొప్ప కట్టడాల కోసం రాతిని విస్తృతంగా ఉపయోగించడం మొదలుపెట్టాడు, కాగా అంతకు మునుపటి సంప్రదాయంలో చెక్క మరియు బంకమట్టిని ఉపయోగించేవారు.","Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","Ashokan sculptures, for the construction of great buildings, began to widely use stone, while the earlier tradition had used wood and brick.

Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.
### Instruction:
Translate the Telugu input text into Urdu.
### Input:
اشوکا کی مجسماں، بڑی عمارتوں کے لیے پتھر کو وسیع پیمانے پر استعمال کرنا شروع کر دیا، جبکہ پہلے کی"
Telugu,English,"మహారాష్ట్రకు చెందిన ఈ రుచికరమైన, ప్రసిద్ధ వంటకాన్ని తయారు చేయడానికి బంగాళాదుంపలను మసాలాలతో కలిపి, శనగపిండిలో ముంచి నూనెలో బాగా వేయిస్తారు.","Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","Maharashtra's famous, delicious dish, prepared by combining onions with masalas, frying in oil, and then mashing in a mortar and pestle.

Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.
### Instruction:
Translate the Telugu input text into Tamil.
### Input:
మహారాష్ట్రకు చెందిన ఈ రుచికరమ�"
Telugu,English,"చెట్టినాడ్ వంట శైలి తమిళనాడు రాష్ట్రంలోని చెట్టినాడ్ ప్రాంతానికి చెందిన నాట్టుకోట్టై చెట్టియార్లు, లేదా నగరత్తార్లు అని వారిని వారు పిలుచుకొనే సముదాయానికి చెందిన వంట శైలి.","Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","Chettinad cuisine style
Chettinad cuisine is a style of Tamil Nadu cuisine native to the Chettinad region of Tamil Nadu. The cuisine is characterized by the use of spices, especially pepper and the use of a lot of oil in cooking. Chettinad cuisine is known for its use of spices, especially pepper and the use of a lot of oil in cooking. It is also known for its use of tamarind and jaggery as souring agents. Chettinad cuisine is also known for its use of spices, especially pepper and the use of a lot of oil in cooking. It"
Telugu,English,"దాల్చినచెక్క భారతదేశానికి స్థానికమైనది, అలాగే దాని ఉపయోగాల పరిధి సువాసనా సాధకానికి సంబంధించడం నుండి ఔషధ సాధకానికి సంబంధించే వరకు ఉంటాయి.","Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.","Dalbergia latifolia
Dalbergia latifolia, commonly known as East Indian rosewood, is a species of Dalbergia native to India, Sri Lanka and Bangladesh. It is also known as Indian rosewood or Indian ebony. It is a large deciduous tree growing to a height of 30–35 metres (98–115 feet), with a trunk diameter of 1–2 metres (3.3–6.6 feet), and a buttressed base. The leaves are pinnate, with 5–13 pairs of leaflets, each leaflet 5–10 centimetres (2"
Telugu,English,దీనిని తిరగలిలో గాని లేదా రోట్లో గాని పొడిగా చేయండి.,Make this into powder with a dry grinder or in a stone pestle.,Put this in a jar or in a rot.
Telugu,English,"పంజాబులో ప్రతీ నగరం విభిన్నమైన అభిరుచులు కలిగి ఉంటుంది, ఎలాగంటే అమృత్‌సర్‌లోని ప్రజలకు అమృత్‌సరి కుల్చాలు, స్టఫ్డ్ పరాఠాలు, పాల ఉత్పత్తులంటే ఇష్టం.","Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","Punjab has diverse tastes in every city, as in Amritsar, where people prefer Amritsari kulchas, stuffed parathas, and dairy products.
Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.
### Instruction:
Translate the Telugu input text into Urdu.
### Input:
پنجاب میں ہر شہر مختلف ذائقوں سے بھرا ہوا ہے، جیسے کہ امرتسر میں،"
Telugu,English,"రాముడిని మునితో పంపించండి, అలాగే లక్ష్మణుడిని కూడా పంపించండి.","Send Rama with the sage, and send Lakshmana too.","Send Rama to Munis, also Lakshmana."
Telugu,English,"అయితే మంగళ్ పాండే యొక్క సాహస కృత్యం, ఉన్నతమైన, ఉదాత్తమైన సిద్ధాంతం పట్ల భక్తితో చేయబడినది.",But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,"అయితే మంగళ్ పాండే యొక్క సాహస కృత్యం, ఉన్నతమైన, ఉద"
Telugu,English,"ఉల్లిపాయలు మగ్గాక, నానబెట్టిన మటన్ తో బాటు పసుపు వేసి కాసేపు మసాలాలన్నీ మటన్ పీల్చుకునేదాకా ఒక 5-6 నిమిషాలబాటు వేయించుకోవాలి.","Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","### Instruction:
Translate the Telugu input text into Tamil.
### Input:
உலிப்பயல் மக்காக, நானபெட்டி மட்டும் அல்லது பச்சை வேப்பம் சேர்த்து காஸேப் மஸாலா மற"
Telugu,English,"హితోపదేశ అనేది పక్షులు, జంతువులు, మానవ పాత్రల ద్వారా ప్రాపంచిక జ్ఞానాన్ని అందించే గ్రంథం.","Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","Hitopadesa is a book of wisdom imparted by animals, birds, and human characters."
