Source Language,Target Language,Input Text,Reference,Generated
Telugu,English,"బాహ్య రూపం అనేది సేవ చేసే వ్యక్తి తాలూకు బూట్లు, బట్టలు, టై, ఆభరణాలు, కేశాలంకరణ, అలంకరణ, గడియారం, సౌందర్య సాధనాలు,అత్తరు మొదలైనటువంటి వాటికి సంబంధించిన లక్షణాల సమాహారం.","An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","External appearance is the set of features of a person that is related to the service provided, such as shoes, clothes, ties, jewelry, makeup, accessories, watches, beauty products, etc."
Telugu,English,"మహారాష్ట్ర లోని ఔరంగాబాద్ జిల్లాలో నెలకొని ఉన్నఅజంతా, ఇరవై తొమ్మిది చైత్యా మరియు విహారా గుహలు కలిగి ఉంది, ఇవి క్రీ పూ ఒకటవ శతాబ్దం- క్రీ శ ఐదవ శతబ్దం మధ్య కాలపు శిల్పాలు మరియు చిత్రాలతో అలంకరించబడి ఉంటాయి.","Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.","Ajanta Caves
The Ajanta Caves are 30 rock-cut Buddhist cave monuments which date from the 2nd century BCE to about 480 CE in the Aurangabad district of Maharashtra, India. The caves include paintings and sculptures described by the government of India as ""the finest surviving examples of Indian art"". The caves were discovered by a British army officer in 1819, and the site is maintained as a UNESCO World Heritage Site.
The Ajanta Caves are a complex made up of 29 sites, and one site (cave 32) is incomplete. The caves were carved out of a horseshoe"
Telugu,English,"శరీరపు రంగు ఆవరణరేఖతో కలిసిపోయి, ఘనపరిమాణ భావం కలిగిస్తుంది.","Body colour gets merged with the outer line, creating the effect of volume.","The body's surface area with a color envelope, gives it a volumetric feeling."
Telugu,English,"అశోకుడు శిల్పాలు, గొప్ప కట్టడాల కోసం రాతిని విస్తృతంగా ఉపయోగించడం మొదలుపెట్టాడు, కాగా అంతకు మునుపటి సంప్రదాయంలో చెక్క మరియు బంకమట్టిని ఉపయోగించేవారు.","Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","Ashoka pillars, the Great Stupa at Sanchi, and the palaces at Pataliputra, for example, were built of stone on a large scale, whereas earlier traditions had used wood and brick."
Telugu,English,"మహారాష్ట్రకు చెందిన ఈ రుచికరమైన, ప్రసిద్ధ వంటకాన్ని తయారు చేయడానికి బంగాళాదుంపలను మసాలాలతో కలిపి, శనగపిండిలో ముంచి నూనెలో బాగా వేయిస్తారు.","Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","Maharashtrian mutton masala is a spicy, famous dish from Maharashtra. To prepare this dish, the bengal gram is mixed with masalas, roasted in sesame seeds and then fried well in oil."
Telugu,English,"చెట్టినాడ్ వంట శైలి తమిళనాడు రాష్ట్రంలోని చెట్టినాడ్ ప్రాంతానికి చెందిన నాట్టుకోట్టై చెట్టియార్లు, లేదా నగరత్తార్లు అని వారిని వారు పిలుచుకొనే సముదాయానికి చెందిన వంట శైలి.","Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","Chettinad cuisine
Chettinad cuisine is a cuisine of Tamil Nadu, India, originating in the Chettinad region of Tamil Nadu. The cuisine is characterised by its use of spices and the use of the Chettinad masala, a spice mix that includes coriander, cumin, cinnamon, cardamom, nutmeg, cloves, and bay leaves. The cuisine is also known for its use of tamarind, coconut, and lentils.
The Chettinad cuisine is known for its use of spices and the use of the Chettinad masala, a spice mix"
Telugu,English,"దాల్చినచెక్క భారతదేశానికి స్థానికమైనది, అలాగే దాని ఉపయోగాల పరిధి సువాసనా సాధకానికి సంబంధించడం నుండి ఔషధ సాధకానికి సంబంధించే వరకు ఉంటాయి.","Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.","Dalbergia sissoo
Dalbergia sissoo, కొన్ని పేర్లలో సిస్సూ, హిందీలో అగర్ అని పిలుస్తారు, దాల్చినచెక్క అ"
Telugu,English,దీనిని తిరగలిలో గాని లేదా రోట్లో గాని పొడిగా చేయండి.,Make this into powder with a dry grinder or in a stone pestle.,Translate the Telugu input text into English.
Telugu,English,"పంజాబులో ప్రతీ నగరం విభిన్నమైన అభిరుచులు కలిగి ఉంటుంది, ఎలాగంటే అమృత్‌సర్‌లోని ప్రజలకు అమృత్‌సరి కుల్చాలు, స్టఫ్డ్ పరాఠాలు, పాల ఉత్పత్తులంటే ఇష్టం.","Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","Punjabi cuisine
Punjabi cuisine is the food of Punjab, a region in the northern part of the Indian subcontinent, which is now divided into two parts, one in India and the other in Pakistan. The cuisine has similarities with the cuisine of the neighbouring states of Haryana, Jammu and Kashmir, and Himachal Pradesh. It is known for its diverse range of dishes. The cuisine is known for its wide usage of both dairy and ghee products along with its rich use of spices and herbs. Punjabi cuisine is known for its rich use of ingredients such as ghee, butter, cream, canola oil"
Telugu,English,"రాముడిని మునితో పంపించండి, అలాగే లక్ష్మణుడిని కూడా పంపించండి.","Send Rama with the sage, and send Lakshmana too.","Send Rama with the sage, as well as Lakshmana."
Telugu,English,"అయితే మంగళ్ పాండే యొక్క సాహస కృత్యం, ఉన్నతమైన, ఉదాత్తమైన సిద్ధాంతం పట్ల భక్తితో చేయబడినది.",But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,"But the daring act of Mangal Pandey, the highest, the most enthusiastic theory."
Telugu,English,"ఉల్లిపాయలు మగ్గాక, నానబెట్టిన మటన్ తో బాటు పసుపు వేసి కాసేపు మసాలాలన్నీ మటన్ పీల్చుకునేదాకా ఒక 5-6 నిమిషాలబాటు వేయించుకోవాలి.","Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.",Translate the Telugu input text into English.
Telugu,English,"హితోపదేశ అనేది పక్షులు, జంతువులు, మానవ పాత్రల ద్వారా ప్రాపంచిక జ్ఞానాన్ని అందించే గ్రంథం.","Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","Hitoopan is a book that provides worldly knowledge through birds, animals, and human characters."
Telugu,English,సంస్కృత వ్యక్తీకరణలో ప్రావీణ్యాన్ని మరియు వివేకవంతమైన ప్రవర్తనకు సంబంధించిన జ్ఞానాన్ని ప్రోత్సహించడం ఈ పుస్తకం యొక్క ఉద్దేశ్యంగా కనిపిస్తోంది.,The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,The aim of this book is to encourage wisdom and discernment in Sanskrit personification.
Telugu,English,ప్రొఫెసర్ అసిత్ కుమార్ బందోపాధ్యాయ్ ఆయన సొంతఊరు హౌరా సంపూర్ణ చరిత్రను 1994 మరియు 1995 లో హౌరా సహరర్ ఇతిబ్రిత్తో పేరున (మొదటి మరియు రెండవ భాగం) సంకలనం చేయడంలో మార్గదర్శకులుగా వ్యవహరించారు.,Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.,"Professor Asit Kumar Bandyopadhyay
Professor Asit Kumar Bandyopadhyay (born 1947) is an Indian historian and writer. He is a former professor of history at Jadavpur University, Kolkata, and a former director of the Centre for Studies in Social Sciences, Kolkata. He is best known for his historical research on the Bengal Renaissance and the Bengali middle class. He is the author of several books, including ""The Bengali Middle Class: Quest for Power and Wealth"" (1982), ""The Bengali Middle Class: Quest for Power and Wealth"" (1982), ""The"
