Source Language,Target Language,Input Text,Reference,Generated
English,Assamese,"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","এটা বাহ্যিক ৰূপ হৈছে সশস্ত্র বাহিনীৰ জোৱানগৰাকীৰ সৈতে জড়িত কেইবাটাও বৈশিষ্ট, যেনে তেওঁৰ জোতা, কাপোৰ, টাই, অলংকাৰ, কেশ-বিন্যাস, মেক-আপ, ঘড়ী, প্রসাধনী, সুগন্ধি, ইত্যাদি।","একটি অ্যাপারেন্স সেবাদাতার বিভিন্ন গুণগুলির সাথে সম্পর্কিত একটি গোষ্ঠী, যেমন তাদের জুতা, পোশাক, টাই, জুহু"
English,Assamese,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",মহাৰাষ্ট্রৰ ঔৰঙ্গাবাদ জিলাত অৱস্থিত অজন্তাত খ্রীষ্টপূর্ব প্রথম শতিকাৰ পৰা খ্রীষ্টাব্দ পঞ্চম শতিকাৰ ভাস্কর্য্য আৰু চিত্রৰে শোভিত ঊনত্রিশটা চৈত্য আৰু বিহাৰ গুহা আছে।,অজন্তা এই অঞ্চলে প্রথম শতক খ্রিস্ট পূর্বাব্দ থেকে পঞ্চম শতক খ্রিস্টাব্দ পর্যন্ত অনেক মন্দির ও বিহার গুমেড়ে �
English,Assamese,"Body colour gets merged with the outer line, creating the effect of volume.","দেহৰ ৰং বাহিৰত থকা ৰেখাডালৰ লগত মিলি যায়, যিয়ে ভলিউমৰ ইফেক্টটো সৃষ্টি কৰে।",বড় বড় মাপের কার্টনের বড় বড় বার্টনের বড় বড় বার্টনের বড় বড় বার্টনের বড় বড় বার্টনের বড় বড় বার্�
English,Assamese,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.",অশোকে ভাস্কর্য্য আৰু বিশাল স্মাৰকসমূহৰ বাবে শিলৰ ব্যাপক প্রয়োগ আৰম্ভ কৰাৰ বিপৰীতে পূর্বৰ পৰম্পৰা আছিল কাঠ আৰু মাটিৰে কাম কৰা।,"আশোকা প্রথমে পাথর ব্যবহার করে বস্তু এবং বিশাল স্মারকগুলি তৈরি করার জন্য ব্যাপক ব্যবহার করেছিলেন, অন্যান্য প"
English,Assamese,"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","মচলাৰ সৈতে মিহলোৱা, বেচনৰ ঘোলৰ তৰপ দিয়া আৰু অত্যুত্তম অৱস্থালৈ তেলত ডুবাই ভজা আলুৱে মহাৰাষ্ট্ৰৰ এইবিধ সুস্বাদু তথা বিখ্যাত খাদ্য তৈয়াৰ কৰে।","পটেটা মিশে মাসালা কাটা, বেসন ব্যাটার নিয়ে ডুবানো হয় এই মহারাষ্ট্রের জনপ্রিয় ও সুস্বাদু খাবার।"
English,Assamese,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","চেট্টিনাড ব্যঞ্জন তামিলনাডু ৰাজ্যৰ চেট্টিনাড অঞ্চলৰ নাট্টুকোটাই চেট্টিৰাছ নামৰ এটা সম্প্ৰদায় বা নাগাৰাঠাৰাছ, যেনেকৈ তেওঁলোকে নিজকে কয়, সেই সম্প্রদায়ৰ ব্যঞ্জন।",চেট্টিনাদ খাবারটো একটা সম্প্ৰদায়ৰ খাবার যেখনেই নাট্টুকোটাই চেট্টিয়াৰসকলৰ বা নাগৰাথাৰসকলৰ একেটা
English,Assamese,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.",ডালচেনি ভাৰতৰ থলুৱা আৰু সেইবাবেই এবিধ সোৱাদবর্ধক বস্তুৰ পৰা আদি কৰি এবিধ ঔষধি দ্রব্যলৈকে ইয়াক ব্যৱহাৰ কৰা হয়।,এটি ভারতের স্থানীয় একটি প্রজাতি। এর ব্যবহার শুধুমাত্র রঙ্গ বা ব্যাধিগুলোর জন্য নয়। এটি একটি ঔষধি হিসাবে �
English,Assamese,Make this into powder with a dry grinder or in a stone pestle.,এইখিনি এটা শুকানে গুড়ি কৰা সজুঁলি বা এটা শিলৰ খুন্দনাত গুড়ি কৰি লওক।,"এই ইংরেজি ভাষার বার্তা আসামী ভাষায় অনুবাদ করুন।
এই বার্তা আসামী ভাষায় অনুবাদ করুন।
এই বার্তা আসামী ভাষায়"
English,Assamese,"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","পঞ্জাৱৰ প্রত্যেকখন চহৰৰে বেলেগ বেলেগ পচন্দ আছে, যেনে অমৃতসৰত থকা লোকসকল অমৃতসৰী কুল্ছে, গাভাৰ দিয়া পৰঠা আৰু গাখীৰৰ বস্তুবোৰৰ প্রতি বিশেষভাৱে আসক্ত।","পাঞ্জাবৰ চৰহৰসমূহত ভিন্ন ভিন্ন পছন্দ থাকে, যেহেতু অমৃতসৰৰ মানুহ বিশেষকৈ অমৃতসৰী কুলচি, পৰান্থ"
English,Assamese,"Send Rama with the sage, and send Lakshmana too.","ৰামক ঋষিগৰাকীৰ সৈতে পঠিয়াই দিয়া, আৰু লক্ষ্মণকো পঠিয়াবা।","রামকে সঙ্গী সাধুকে পাঠিয়ে লক্ষ্মণকে পাঠিয়ে যাও।
### Explanation:
    - The English sentence is: Send Rama with the sage, and send Lakshmana too.
    - The Assamese translation is: রামকে সঙ্গী সাধুকে পাঠিয়ে লক্ষ"
English,Assamese,But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,কিন্তু মঙ্গল পাণ্ডেৰ সাহসী কার্য্যকলাপ এক উচ্চ তথা মহান আদর্শৰ প্রতি থকা গভীৰ অনুৰাগৰ জৰিয়তে সম্পন্ন কৰা হৈছিল।,কিন্তু মঙ্গল পান্ডেয়ের বীরত্বের কাজটি একটি উচ্চ এবং নৈতিক নীতিতে দেবতায় দেবতায় দেবতায় দেবতায় দেবত
English,Assamese,"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","এবাৰ যেতিয়া পিঁয়াজখিনি ঈষৎ স্বচ্ছ হৈ পৰে, মেৰিনেট কৰি ৰখা ছাগলীৰ মাংসখিনি হালধি গুড়িৰ সৈতে তাত দি দিয়ক আৰু প্রায় ৫-৬ মিনিটলৈ যেতিয়ালৈকে ছাগলীৰ মাংসখিনিত সকলোখিনি মচলা মিহলি হৈ নাযায় তেতিয়ালৈকে কিছু সময় ভাজক।",বস্তার মাংসটি আল্পান করে বিশেষ এক প্রকার সাব্জি তে রাখুন এবং একটু তেলে রান্না করুন। তারপর তেলে তুলসী পাতা �
English,Assamese,"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","হিতোপদেশ এখন চৰাই-চিৰিকতি, জন্তু আৰু মানুহৰ চৰিত্রৰ জৰিয়তে উপস্থাপন কৰা পাৰ্থিৱ প্ৰজ্ঞাৰ কিতাপ।",হিতোপদেশ হল সমাজের সামাজিক জীবনের সমস্ত বৈশিষ্ট্যগুলির বিশ্লেষণের উপর ভিত্তি করে বিশ্লেষণ করা একটি প্রাচ�
English,Assamese,The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,গ্রন্থখনৰ উদ্দেশ্য সংস্কৃত কথাৰ দক্ষতা আৰু বিবেচনাপূর্ণ ব্যৱহাৰৰ জ্ঞানক উৎসাহিত কৰা যেন অনুমান হয়।,"বইটির উদ্দেশ্য হল সংস্কৃত ব্যবহারে প্রযুক্তিগত দক্ষতা এবং প্রজ্ঞাবশ্য আচরণের জ্ঞান প্রদান করা।
### Explanation:
বইট"
English,Assamese,Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.,প্রাধ্যাপক আশিতকুমাৰ বন্দোপাধ্যায়ে তেওঁৰ গৃহনগৰী হাওৰাৰ সম্পূর্ণ ইতিহাসৰ ১৯৯৪ আৰু ১৯৯৫ত হাওৰা চহৰেৰ ইতিবৃত (প্রথম আৰু দ্বিতীয় খণ্ড) শীর্ষক সংকলনৰ ক্ষেত্রত এক বাটকটীয়াৰ ভূমিকা পালন কৰিছিল।,অসিতকুমাৰ বন্দ্যোপাধ্যায় তাঁতে নগৰীৰ ইতিহাস সম্পাদনা কৰিবলৈ অগ্ৰবৰ ভূমিকা পালন কৰিছিল। ১৯৯৪ আৰু
English,Assamese,"The front of the caitya hall is dominated by the motif of a semi-circular caitya arch with an open front that has a wooden facade and, in some cases, there is no dominating caitya arch window.","চৈত্য হলটোৰ আগফাল এখন অর্ধ-বৃত্তাকাৰ চৈত্য খিলানৰ আকৃতিয়ে আৱৰি আছে য'ত আগফাল মুকলি আৰু সন্মুখভাগ কাঠৰ, আৰু কিছু কিছু ক্ষেত্রত কোনো ধৰণৰ আৱৰি থকা চৈত্য খিলানৰ খিৰিকী নাই।",কামাক্ষের দর্শনের সাথে প্রতিবেশী নির্মাণ সম্পর্কে প্রতিবেশী নির্মাণ সম্পর্কে প্রতিবেশী নির্মাণ সম্পর্কে প্রতিবেশ�
English,Assamese,Generations of 'maharaj' and 'khansamas' (as expert chefs have traditionally been called in India) have perfected the recipes over centuries and these recipes have passed through oral tradition over thousands of years.,কেইবাটাও প্রজন্মৰ 'মহাৰাজ' আৰু 'খানচামাসকল'-এ (ভাৰতত ওজা ৰান্ধনীসকলক সাধাৰণতে যি বুলি কোৱা হয়) শতিকা শতিকা ধৰি ৰন্ধন প্রকৰণসমূহ নিখুঁত কৰি তুলিছে আৰু এই ৰন্ধন প্রকৰণসমূহ হেজাৰ হেজাৰ বছৰ ধৰি মুখে মুখে বাগৰি আহিছে।,অনেক পৰিবৰ্তন হ'ল অনেক সময় পৰে। কিন্তু সময় সময় কৰিবলৈ জানেদি চাহিদা আছে। এক সময় বিভিন্ন মহারাজ আ�
English,Assamese,"The preparation is traditionally done by a vasta waza, or head chef, with the assistance of a court of wazas, or chefs.","প্রস্তুতিটো সাধাৰণতে এটা ৱাজা বা ৰান্ধনীৰ দলৰ সহযোগৰ সৈতে এগৰাকী ভাস্তা ৱাজা, বা প্রধান ৰান্ধনীৰ দ্বাৰা কৰা হয়।","প্রস্তুতি সাধারণত একজন বাস্তা ওয়াজা বা শীর্ষ রান্নাঘর দ্বারা করা হয়, সাথে একটি কোর্ট অব ওয়াজাস বা রান্না�"
English,Assamese,"Pav Bhaji: It is a fast food dish from Maharashtra, consisting of a thick vegetable curry (bhaji) usually prepared in butter and served with a soft bread roll (pav).","পাৱ ভাজি: এইবিধ মহাৰাষ্ট্রৰ এবিধ ফাষ্ট-ফুড ব্যঞ্জন, সাধাৰণতে মাখনত প্রস্তুত কৰা পাচলিৰ এবিধ গাঢ় আঞ্জা (ভাজি) থকা আৰু এটা কোমল পাওৰুটীৰ ৰোলৰ (পাৱ) সৈতে পৰিৱেশন কৰা।",পাভ ভাজি: মহারাষ্ট্র থেকে একটি দ্রুত খাবার পরিবেশনকারী একটি রান্না দিন থেকে একটি স্বর্গীয় সহজ ভেজিটেবল ক
