Source Language,Target Language,Input Text,Reference,Generated
English,Assamese,"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","এটা বাহ্যিক ৰূপ হৈছে সশস্ত্র বাহিনীৰ জোৱানগৰাকীৰ সৈতে জড়িত কেইবাটাও বৈশিষ্ট, যেনে তেওঁৰ জোতা, কাপোৰ, টাই, অলংকাৰ, কেশ-বিন্যাস, মেক-আপ, ঘড়ী, প্রসাধনী, সুগন্ধি, ইত্যাদি।","একটি এপিয়ারেন্স হল একটি সেবাদাতা এর বৈশিষ্ট্য, যেমন তাঁদের জুতা, বস্ত্র, টাই, জুহু, স্কুল, পরিচ্ছদ, চুল"
English,Assamese,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",মহাৰাষ্ট্রৰ ঔৰঙ্গাবাদ জিলাত অৱস্থিত অজন্তাত খ্রীষ্টপূর্ব প্রথম শতিকাৰ পৰা খ্রীষ্টাব্দ পঞ্চম শতিকাৰ ভাস্কর্য্য আৰু চিত্রৰে শোভিত ঊনত্রিশটা চৈত্য আৰু বিহাৰ গুহা আছে।,"আজান্তা, মহারাষ্ট্ৰৰ আৰুঙ্গাবাদ জিলাত অৱস্থিত বাওঁফালে আৰু বামফালে আছে ২৯টা চেটিয়া আৰু বিহাৰ গুহা যি প"
English,Assamese,"Body colour gets merged with the outer line, creating the effect of volume.","দেহৰ ৰং বাহিৰত থকা ৰেখাডালৰ লগত মিলি যায়, যিয়ে ভলিউমৰ ইফেক্টটো সৃষ্টি কৰে।","গাঁথা বর্ণ বাহির লাইন সহ একীভূত হয়, গঠন বাহির লাইন সহ প্রতিটি পটভূম এবং আকার এবং প্রতিটি রেখাচিত্রের স�"
English,Assamese,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.",অশোকে ভাস্কর্য্য আৰু বিশাল স্মাৰকসমূহৰ বাবে শিলৰ ব্যাপক প্রয়োগ আৰম্ভ কৰাৰ বিপৰীতে পূর্বৰ পৰম্পৰা আছিল কাঠ আৰু মাটিৰে কাম কৰা।,"অশোক বিশেষ পৰিমাণে পাথরে বিশেষ কৰি স্কুল আৰু মুহূৰ্ত বুজাবলৈ কাম কৰাৰ আৰম্ভ কৰিছিল, আনহাতে পূৰ্বৱৰ"
English,Assamese,"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","মচলাৰ সৈতে মিহলোৱা, বেচনৰ ঘোলৰ তৰপ দিয়া আৰু অত্যুত্তম অৱস্থালৈ তেলত ডুবাই ভজা আলুৱে মহাৰাষ্ট্ৰৰ এইবিধ সুস্বাদু তথা বিখ্যাত খাদ্য তৈয়াৰ কৰে।","পটেটোৰ বিভিন্ন মছালাৰ বেছনাৰ দল, বেছনা বেট্টাৰ আৰু পৰিপূৰ্ণতাৰ বাবে গভীৰভাৱে ভাজা হোৱা এই দুৰ্দান্�"
English,Assamese,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","চেট্টিনাড ব্যঞ্জন তামিলনাডু ৰাজ্যৰ চেট্টিনাড অঞ্চলৰ নাট্টুকোটাই চেট্টিৰাছ নামৰ এটা সম্প্ৰদায় বা নাগাৰাঠাৰাছ, যেনেকৈ তেওঁলোকে নিজকে কয়, সেই সম্প্রদায়ৰ ব্যঞ্জন।",চেট্টিনাডৰ খাদ্যতমোল হৈছে চেট্টিনাডৰ অঞ্চলৰ এটা সম্প্ৰদায় যিয়ে নাট্টুকোটাই চেট্টিয়াৰ বা নাগৰাথাৰ
English,Assamese,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.",ডালচেনি ভাৰতৰ থলুৱা আৰু সেইবাবেই এবিধ সোৱাদবর্ধক বস্তুৰ পৰা আদি কৰি এবিধ ঔষধি দ্রব্যলৈকে ইয়াক ব্যৱহাৰ কৰা হয়।,"কার্নেল কালামৰ কোম্পানীৰ লগত চিনামন ব্যৱসায় কৰিছিল।
কার্নেল কালামৰ কোম্পানীৰ লগত চিনামন ব্যৱসায় কৰিছি�"
English,Assamese,Make this into powder with a dry grinder or in a stone pestle.,এইখিনি এটা শুকানে গুড়ি কৰা সজুঁলি বা এটা শিলৰ খুন্দনাত গুড়ি কৰি লওক।,এতটোকালেই এই বৰ্ণনাটোক পাউডাৰ কৰক যদি বেছি শুষ্ক গ্ৰাইন্ডাৰ ব্যৱহাৰ কৰা হয় বা কাঁচ পেষ্টলত কৰা হ
English,Assamese,"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","পঞ্জাৱৰ প্রত্যেকখন চহৰৰে বেলেগ বেলেগ পচন্দ আছে, যেনে অমৃতসৰত থকা লোকসকল অমৃতসৰী কুল্ছে, গাভাৰ দিয়া পৰঠা আৰু গাখীৰৰ বস্তুবোৰৰ প্রতি বিশেষভাৱে আসক্ত।","পঞ্জাবৰ প্ৰতিখন নগৰত বিভিন্ন প্ৰয়োজন আছে, যেনে অমৃতসৰত অমৃতসৰী কুল্চে, পৰান্থা আৰু দুগ্ধ প্ৰ�"
English,Assamese,"Send Rama with the sage, and send Lakshmana too.","ৰামক ঋষিগৰাকীৰ সৈতে পঠিয়াই দিয়া, আৰু লক্ষ্মণকো পঠিয়াবা।","সেন্দ্রাম রামক সঙ্গে বৃদ্ধ আপাত্বর্যতা আৰু লক্ষ্মণক মোকলে।
বিন্দুস্থলী সমূহ সুমতী নদী উপত্যকাত অ�"
English,Assamese,But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,কিন্তু মঙ্গল পাণ্ডেৰ সাহসী কার্য্যকলাপ এক উচ্চ তথা মহান আদর্শৰ প্রতি থকা গভীৰ অনুৰাগৰ জৰিয়তে সম্পন্ন কৰা হৈছিল।,বুট মঙ্গল পান্ডেৰ বিদ্ৰোহৰ সৈতে সংগতিৰ নৈতিক প্ৰতিজ্ঞা কৰাৰ বাবে তেওঁৰ সাহসী কৰ্ম কৰা হৈছিল।
English,Assamese,"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","এবাৰ যেতিয়া পিঁয়াজখিনি ঈষৎ স্বচ্ছ হৈ পৰে, মেৰিনেট কৰি ৰখা ছাগলীৰ মাংসখিনি হালধি গুড়িৰ সৈতে তাত দি দিয়ক আৰু প্রায় ৫-৬ মিনিটলৈ যেতিয়ালৈকে ছাগলীৰ মাংসখিনিত সকলোখিনি মচলা মিহলি হৈ নাযায় তেতিয়ালৈকে কিছু সময় ভাজক।",অনিয়ন নৰ অসমায় অসমায় মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ মাছ
English,Assamese,"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","হিতোপদেশ এখন চৰাই-চিৰিকতি, জন্তু আৰু মানুহৰ চৰিত্রৰ জৰিয়তে উপস্থাপন কৰা পাৰ্থিৱ প্ৰজ্ঞাৰ কিতাপ।","হিতোপদেশ
হিতোপদেশ (অসমীয়া: হিতোপদেশ) একটি বিশ্বজীবনী প্রতিপাদ্য বাদুড়, পশু এবং মানুষের চরিত"
English,Assamese,The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,গ্রন্থখনৰ উদ্দেশ্য সংস্কৃত কথাৰ দক্ষতা আৰু বিবেচনাপূর্ণ ব্যৱহাৰৰ জ্ঞানক উৎসাহিত কৰা যেন অনুমান হয়।,বইটোৰ উদ্দেশ্য দেখাইছে যে সংস্কৃত ব্যবহাৰৰ ক্ষমতা আৰু বিদ্যাৰ জ্ঞান বৃদ্ধি কৰিব।
English,Assamese,Professor Asitkumar Bandyopadhyay played a pioneering role in compiling the complete history of his hometown Howrah titled as Howrah Saharer Itibrrito (First and Second Volume) in 1994 & 1995.,প্রাধ্যাপক আশিতকুমাৰ বন্দোপাধ্যায়ে তেওঁৰ গৃহনগৰী হাওৰাৰ সম্পূর্ণ ইতিহাসৰ ১৯৯৪ আৰু ১৯৯৫ত হাওৰা চহৰেৰ ইতিবৃত (প্রথম আৰু দ্বিতীয় খণ্ড) শীর্ষক সংকলনৰ ক্ষেত্রত এক বাটকটীয়াৰ ভূমিকা পালন কৰিছিল।,"অসিতকুমাৰ বন্দ্যোপাধ্যায় হোৱৰাৰ ইতিহাস সম্পাদনাৰ মাজত অগ্ৰণী ভূমিকা গ্ৰহণ কৰিছিল।
অসিতকুমাৰ বন্�"
English,Assamese,"The front of the caitya hall is dominated by the motif of a semi-circular caitya arch with an open front that has a wooden facade and, in some cases, there is no dominating caitya arch window.","চৈত্য হলটোৰ আগফাল এখন অর্ধ-বৃত্তাকাৰ চৈত্য খিলানৰ আকৃতিয়ে আৱৰি আছে য'ত আগফাল মুকলি আৰু সন্মুখভাগ কাঠৰ, আৰু কিছু কিছু ক্ষেত্রত কোনো ধৰণৰ আৱৰি থকা চৈত্য খিলানৰ খিৰিকী নাই।","গোম্বা কেল্লা আছাৰ স্থাপত্য শৈলী
কেল্লা আছাৰ স্থাপত্য শৈলীত কেল্লা আছাৰ গোম্বা কেল্লা আছাৰ বাবে বিখ্য"
English,Assamese,Generations of 'maharaj' and 'khansamas' (as expert chefs have traditionally been called in India) have perfected the recipes over centuries and these recipes have passed through oral tradition over thousands of years.,কেইবাটাও প্রজন্মৰ 'মহাৰাজ' আৰু 'খানচামাসকল'-এ (ভাৰতত ওজা ৰান্ধনীসকলক সাধাৰণতে যি বুলি কোৱা হয়) শতিকা শতিকা ধৰি ৰন্ধন প্রকৰণসমূহ নিখুঁত কৰি তুলিছে আৰু এই ৰন্ধন প্রকৰণসমূহ হেজাৰ হেজাৰ বছৰ ধৰি মুখে মুখে বাগৰি আহিছে।,"ভারতীয় রাজপুত খান্সামা বা মহারাজ
ভারতীয় রাজপুত খান্সামা বা মহারাজ হল একটি বৈশিষ্ট্যযুক্ত ভারতীয়"
English,Assamese,"The preparation is traditionally done by a vasta waza, or head chef, with the assistance of a court of wazas, or chefs.","প্রস্তুতিটো সাধাৰণতে এটা ৱাজা বা ৰান্ধনীৰ দলৰ সহযোগৰ সৈতে এগৰাকী ভাস্তা ৱাজা, বা প্রধান ৰান্ধনীৰ দ্বাৰা কৰা হয়।","প্রস্তুতি সাধাৰণত একজন বাস্তা ওজা, অৰ্থাৎ মুখ্য শাকাহাৰী দ্বাৰা একজন শাকাহাৰী দ্বাৰা সহায়তা কৰা একট"
English,Assamese,"Pav Bhaji: It is a fast food dish from Maharashtra, consisting of a thick vegetable curry (bhaji) usually prepared in butter and served with a soft bread roll (pav).","পাৱ ভাজি: এইবিধ মহাৰাষ্ট্রৰ এবিধ ফাষ্ট-ফুড ব্যঞ্জন, সাধাৰণতে মাখনত প্রস্তুত কৰা পাচলিৰ এবিধ গাঢ় আঞ্জা (ভাজি) থকা আৰু এটা কোমল পাওৰুটীৰ ৰোলৰ (পাৱ) সৈতে পৰিৱেশন কৰা।","পভ ভাজি: মহারাষ্ট্রৰ পৰা এক বিশেষ খাদ্য আহার, য'ত বিশেষ সময়সূচী ভাজি (ভাজি) বা ভাজি তৈয়াৰ কৰা হয় আৰ�"
English,Assamese,"The Kashmiri compositions of Lal Ded and Habba Khatoon are known for their mystical flavour and intense agony of expression, Mirabai's compositions in Rajasthani is known for unique devotional quality, Andal's mysticism in Tamil and Akka Mahadevi's vachanas in Kannnada are testimonies to the great contribution of women to the literature of the time.","লাল ড্যেড আৰু হাব্বা খাটুনৰ কাশ্মীৰী ৰচনাবোৰ সেইবোৰৰ ৰহস্যবাদ সম্পৰ্কীয় আভাস আৰু প্রকাশভংগিৰ তীব্র পীড়াৰ বাবে জনা যায়, মীৰাবাইৰ ৰাজস্থানীৰ ৰচনাসমূহ বিৰল ভক্তিমূলক বৈশিষ্টৰ বাবে জনা যায়, আন্দালৰ তামিলৰ ৰহস্যবাদ আৰু আক্কা মহাদেৱীৰ কানাড়াৰ বচনসমূহ সেই সময়ৰ সাহিত্যৰ প্রতি থকা মহিলাসকলৰ মহান বৰঙনিৰ প্রমাণ।",কাশ্মীৰী সৃষ্টি লাল দেৱী আৰু হাব্বা খানুমৰ সৃষ্টি বিশেষ ধ্যানৰ প্ৰতি আগ্ৰহ আৰু বিশেষ দুঃখৰ ব্যক্তি�
English,Assamese,"The Bagh Caves, consisting of Buddhist mural paintings, are located 97 km from the Dhar district of Madhya Pradesh.",বৌদ্ধধর্মী দেৱাল-চিত্রসমূহ থকা বাঘ গুহাকেইটা মধ্য প্রদেশৰ ধাৰ জিলাৰ পৰা ৯৭ কি.মি. দূৰত্বত অৱস্থিত।,"বাঘ গুহা, বুদ্ধ মূর্তিসমূহ, মধ্য প্ৰদেশৰ ধাৰৰ পৰা 97 কিলোমিটাৰ দূৰত্বত অৱস্থিত।
বাঘ গুহা বুদ্ধ মূ�"
English,Assamese,"The usual meaning of the word mula in Sanskrit literature is the root of a plant or tree, but figuratively, the foot or lowest part or bottom of anything.","সংস্কৃত সাহিত্যত মূল শব্দটোৰ সাধাৰণ অর্থটো হৈছে এজোপা উদ্ভিদ বা গছৰ শিপা, কিন্তু আলংকাৰিকভাৱে হৈছে কিবা এটাৰ একেবাৰে তলৰ অংশটো।","সাধারণ অর্থ।
সংস্কৃত সাহিত্যত শব্দটি মুলা সাধারণত উদ্ভিদের রুট বা গাছের রুট বা উদ্ভিদের রুট বা উদ্ভিদের র�"
English,Assamese,Indus Valley Civilisation is known for its technological knowledge in a variety of fields.,সিন্ধু উপত্যকা সভ্যতাক বিভিন্ন ক্ষেত্রত থকা ইয়াৰ প্রযুক্তিগত জ্ঞানৰ কাৰণে জনা যায়।,"ব্যুৰোৰ নামঃ গৰ্ভকালত বিভ্ৰান্তিগ্ৰস্ত মাতৃসকলৰ বাবে সহায় আৰু সমৰ্থন প্ৰদান কৰা বিভাগ।
কৰ্মপদ্ধতি"
English,Assamese,All the Kauravas die; only the five Pandava brothers and Krishna survive.,আটাইকেইগৰাকী কৌৰৱৰে মৃত্যু হয়; কেৱল পাঁচগৰাকী পাণ্ডৱ ভাতৃ আৰু কৃষ্ণহে বাচি থাকে।,"অল দ্য কৌৰৱ মৰা; কৃষ্ণ, কেবল পাঁচ পাণ্ডৱ ভাই আৰু বেঁচে থাকে.
ইয়াত ব্যাখ্যা দিয়া হৈছে যে কৃষ্ণ অতিথি হ"
