Source Language,Target Language,Input Text,Reference,Generated
English,Bengali,"An appearance is a bunch of attributes related to the service person, like their shoes, clothes, tie, jewellery, hairstyle, make-up, watch, cosmetics, perfume, etc.","বাহ্য রূপ হল সেই পরিষেবা প্রদানকারী মানুষ সম্বন্ধীয় এক গুচ্ছ বৈশিষ্ট্য যেমন, তার জুতো, জামাকাপড়, টাই, গয়না, চুলের ধরন, রূপসজ্জা, ঘড়ি, প্রসাধনী, সুগন্ধি, ইত্যাদি।",
English,Bengali,"Ajanta, located in the Aurangabad District of Maharashtra has twenty-nine caitya and vihara caves decorated with sculptures and paintings from the first century B.C.E. to the fifth century C.E.",মহারাষ্ট্রের ঔরঙ্গাবাদ জেলায় অবস্থিত অজন্তায় খ্রিষ্টপূর্ব প্রথম শতাব্দী থেকে খ্রিষ্টীয় পঞ্চম শতাব্দীর ভাস্কর্য এবং চিত্রকলায় সজ্জিত ঊনত্রিশটি চৈত্য এবং বিহার গুহা রয়েছে।,"এজান্টা, মহারাষ্ট্রের আউরাংগাবাদ জেলার অবস্থিত, প্রথম শতাব্দী খ্রিস্টপূর্ব থেকে পঞ্চম শতাব্দী খ্রিস্টপূর্বে"
English,Bengali,"Body colour gets merged with the outer line, creating the effect of volume.",গায়ের রঙের সঙ্গে দেহরেখা মিশে গিয়ে ঘনত্বের আভাস তৈরি করে।,বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় বড় ব
English,Bengali,"Ashoka started making extensive use of stone for sculptures and great monuments, whereas the previous tradition consisted of working with wood and clay.","যেখানে পূর্ববর্তী ঐতিহ্য ছিল কাঠ ও মাটি দিয়ে নির্মাণ করা, অশোক সেখানে ভাস্কর্য এবং মহান স্মৃতিস্তম্ভ নির্মাণের কাজে ব্যাপকভাবে পাথরের ব্যবহার শুরু করেন।","অশোক প্রথম মুখ্যমন্ত্রী হিসাবে শিলা ব্যবহার করে বড় মন্দির ও মূর্তি নির্মাণে ব্যাপকভাবে ব্যবহার করেছিলেন, যে"
English,Bengali,"Potatoes mixed in masalas, coated in besan batter and deep fried to perfection form this delicious and famous dish of Maharashtra.","আলুতে মশলা মাখিয়ে, ফেটানো বেসনে চুবিয়ে নিয়ে ডুবো তেলে ভাজা যতক্ষণ না ভালো করে ভাজা হচ্ছে, তৈরি করা হয় মহারাষ্ট্রের এই সুস্বাদু ও জনপ্রিয় খাবারের পদ।","পটেটো মিশিয়ে মসালা, বেসান ব্যাটারে আচ্ছাদিত এবং প্রকৃতপক্ষে একটি সুস্বাদু এবং মহারাষ্ট্রের একটি পরিচিত"
English,Bengali,"Chettinad cuisine is the cuisine of a community called the Nattukotai Chettiars, or Nagarathars, as they call themselves, from the Chettinad region of Tamil Nadu state.","চেট্টিনাড় রন্ধনপ্রণালী হলো তামিলনাড়ু রাজ্যের চেট্টিনাড় অঞ্চলের নাট্টুকোটাই চেট্টিয়ার, অথবা তাদের নিজেদের দেওয়া নাম অনুযায়ী নগরত্তার নামক একটি সম্প্রদায়ের এক রন্ধনপ্রণালী।",চেট্টিনাদ রন্ধনশৈলী হল একটি সম্প্রদায়ের রন্ধনশৈলী যারা নাট্টুকোটাই চেট্টিয়ার বা নাগরাথার বলে নিজেদের ড
English,Bengali,"Cinnamon is native to India and, as such, its uses range from that of a flavoring agent to a medicinal agent.",দারুচিনি ভারতে মূলভাবে উৎপাদিত এবং এর ব্যবহার গন্ধবিশিষ্ট দ্রব্য থেকে আরম্ভ করে ঔষধি দ্রব্য হিসেবে হয়।,কালো চিনি ভারতে উৎপন্ন এবং তাই এর ব্যবহার হল একটি রসালো পদার্থ থেকে একটি ঔষধীয় পদার্থ পর্যন্ত প্রসারিত
English,Bengali,Make this into powder with a dry grinder or in a stone pestle.,এই সবগুলোকে একটা শুকনো জাঁতাকল বা শিলনোড়ায় গুঁড়ো করুন।,এই করো পাউডারের সাথে একটি শুকনো গ্রিন্ডার বা একটি পাথরের পেস্টলে।
English,Bengali,"Each city in Punjab has varied preferences, like people in Amritsar are particularly fond of Amritsari kulche, stuffed paranthas and milk products.","পঞ্জাবের একেকটি শহরের পছন্দ একেক রকমের, যেমন অমৃতসরের লোকেরা অমৃতসরী কুলচা, পুরভরা পরোটা এবং দুগ্ধজাত পণ্য বেশি পছন্দ করে।","সব শহরের প্রতিটি পাঞ্জাবের পছন্দ ভিন্ন হয়ে থাকে, যেমনটি আমৃতসরের লোকেরা বিশেষত আমৃতসারী কুলচি, পারান্থ"
English,Bengali,"Send Rama with the sage, and send Lakshmana too.",রামকে এই ঋষির সঙ্গে পাঠান এবং লক্ষ্মণকেও পাঠান।,সেন্দ্রির রামকে বিদ্যালয়ে পাঠাও এবং লক্ষ্মণকেও পাঠাও।
English,Bengali,But Mangal Pandey's brave deed was done through devotion to a high and noble principle.,"কিন্তু মঙ্গল পাণ্ডের বীরত্বসূচক কাজ, উচ্চ ও মহৎ নীতির প্রতি নিষ্ঠার মাধ্যমে সম্পাদিত হয়েছিল।",বুট মঙ্গল পান্দের সাহসী কাজ করা হয়েছিল একটি উঁচু এবং সুন্দর ধারণার প্রতি আনুগত্যের মাধ্যমে।
English,Bengali,"Once the onions are translucent, add the marinated mutton with turmeric powder and saute for some time until all the spices are absorbed in the mutton for about 5-6 minutes.","পেঁয়াজগুলি স্বচ্ছ্ব হয়ে এলে, মাখিয়ে রাখা পাঁঠার মাংস হলুদ গুঁড়োর সঙ্গে দিয়ে দিন এবং সমস্ত মশলা মাংসে না ঢোকা পর্যন্ত ৫-৬ মিনিট মতো কিছু সময় ধরে কষতে থাকুন।",সাথে অনিয়মিত মাছ চপ বিক্রি করতে সমর্থ করে | আমাদের সাথে যোগ দিন! আপনার মাছ চপ সংকল্প প্রতিষ্ঠানের নাম দিন। আপনার
English,Bengali,"Hitopadesa is a book of worldly wisdom presented through the characters of birds, animals, and humans.","হিতোপদেশ হল পাখি, পশু ও মানুষের চরিত্রের মাধ্যমে বোঝানো পার্থিব জ্ঞানের একটি বই।","হিতোপদেশ একটি বিশ্বকোষ বিদ্যা উপস্থাপন করা হয় বাদাম, প্রাণী এবং মানুষের চরিত্রের মাধ্যমে।"
English,Bengali,The purpose of the book appears to encourage proficiency in Sanskrit expression and the knowledge of wise behaviour.,এই বইটির উদ্দেশ্য দাঁড়ালো গিয়ে সংস্কৃতে মতপ্রকাশের দক্ষতাকে এবং জ্ঞানগর্ভ আচার-আচরণের শিক্ষাকে উৎসাহিত করা।,এই বইটি সংস্কৃত বক্তৃতা এবং জ্ঞানমূলক আচরণের জ্ঞান অর্জন করার জন্য উদ্দেশ্য প্রতিষ্ঠান দেখায়।
